Open,Close,High,Low,Volume,Date
77.65,77.01,77.85,76.85,1,337,121.00,05/23/23
78.79,78.22,79.01,78.09,971,755.00,05/22/23
79,78.63,79.03,78.2,1,429,646.00,05/19/23
77.61,78.43,78.505,77.24,1,907,495.00,05/18/23
77.83,77.97,78.28,77.47,1,783,378.00,05/17/23
78.34,77.46,78.42,77.44,1,193,922.00,05/16/23
78.5,78.76,78.81,78.01,844,433.00,05/15/23
78.31,78.1,78.45,77.43,1,266,018.00,05/12/23
77.98,77.96,78.22,77.6,1,202,417.00,05/11/23
79.63,78.73,79.63,77.87,1,295,234.00,05/10/23
78.96,78.68,79.09,78.36,1,370,776.00,05/09/23
80.15,79.4,80.25,79.28,842,920.00,05/08/23
79.2,79.66,79.94,79.13,1,418,887.00,05/05/23
79.02,78.34,79.52,78.15,1,970,037.00,05/04/23
79.85,78.85,80.23,78.82,1,582,217.00,05/03/23
79.76,79.73,79.87,78.46,1,467,137.00,05/02/23
80.65,80.51,81.04,80.365,765,254.00,05/01/23
79.59,80.55,80.68,79.4,1,173,296.00,04/28/23
78.78,79.62,79.645,78.33,1,633,920.00,04/27/23
79.17,78.55,79.43,78.285,1,715,653.00,04/26/23
80.4,79.49,80.48,79.455,1,593,091.00,04/25/23
80.83,81.25,81.26,80.75,933,239.00,04/24/23
