Open,Close,High,Low,Volume,Date
70.59,69.8,70.78,69.645,870,442.00,05/23/23
71.68,70.94,72.15,70.94,636,933.00,05/22/23
73.08,71.64,73.08,71.24,697,470.00,05/19/23
71.67,72.89,72.99,71.45,680,232.00,05/18/23
70.76,71.64,71.75,70.53,585,511.00,05/17/23
70.47,70.51,70.79,69.86,662,559.00,05/16/23
70.87,71.39,71.44,70.39,481,645.00,05/15/23
71.25,70.79,71.75,70.08,793,572.00,05/12/23
70.93,71.13,71.18,70.61,494,775.00,05/11/23
71.94,71.18,72.09,70.37,665,909.00,05/10/23
71.11,71.32,71.75,71.04,562,900.00,05/09/23
70.87,71.19,71.29,70.38,713,139.00,05/08/23
70.17,70.77,71,69.88,654,750.00,05/05/23
70.51,69.58,70.9,69.45,889,493.00,05/04/23
70.62,70.73,71.93,70.62,820,331.00,05/03/23
70.43,70.3,70.53,69.12,783,179.00,05/02/23
70.73,70.6,71.3,70.44,591,400.00,05/01/23
70.05,70.92,70.98,70.02,624,335.00,04/28/23
68.19,69.89,69.9,68.19,682,286.00,04/27/23
68.58,67.59,68.98,67.46,760,470.00,04/26/23
69.49,68.56,69.69,68.545,497,342.00,04/25/23
69.33,69.59,69.83,68.93,613,721.00,04/24/23
