Open,Close,High,Low,Volume,Date
37.7,37.92,38.24,37.59,1,568,135.00,05/23/23
38.18,37.98,38.47,37.91,905,154.00,05/22/23
38.15,38.3,38.85,37.79,1,783,477.00,05/19/23
38.25,37.94,38.25,37.48,2,411,040.00,05/18/23
39.08,38.92,39.1,38.44,1,433,085.00,05/17/23
40.08,39.12,40.3,38.945,2,068,822.00,05/16/23
40.11,40.31,40.68,40.06,1,054,874.00,05/15/23
39.56,39.97,40.04,39.4,2,484,288.00,05/12/23
40.81,39.53,41.08,39.49,3,674,655.00,05/11/23
42.07,41.6,42.08,40.92,1,234,058.00,05/10/23
41.84,41.88,42.09,41.58,827,357.00,05/09/23
42.14,41.94,42.35,41.68,950,035.00,05/08/23
40.99,41.81,42.09,40.66,1,172,218.00,05/05/23
41.28,41.98,42.65,41.28,2,812,533.00,05/04/23
40.92,41.13,41.489,40.61,1,235,459.00,05/03/23
39.54,40.97,41.01,38.97,2,770,182.00,05/02/23
40.41,39.39,40.8,39.38,1,456,236.00,05/01/23
39.94,39.75,40.21,39.48,1,654,101.00,04/28/23
39.35,40.08,40.12,39.13,1,996,564.00,04/27/23
40.42,39.51,40.57,39.43,1,586,840.00,04/26/23
40.03,40.03,40.17,39.35,1,462,339.00,04/25/23
