Open,Close,High,Low,Volume,Date
267.3,265.65,268.42,263.98,74,843.00,05/23/23
260.2,264.87,266.8,260.2,153,155.00,05/22/23
262.76,260.01,262.99,258.25,110,927.00,05/19/23
254.65,259.26,259.67,250.75,118,028.00,05/18/23
251.88,255.71,257.08,250.58,162,598.00,05/17/23
255.38,249.07,255.38,248.83,120,881.00,05/16/23
254.83,255.92,258.87,253.63,106,732.00,05/15/23
254.47,253,257.41,251.31,107,889.00,05/12/23
255.61,252.37,255.61,250.4,215,650.00,05/11/23
265.53,259.83,265.53,257.02,86,709.00,05/10/23
260.22,263.13,265.75,259.69,130,515.00,05/09/23
265.92,262.1,268,261.51,65,216.00,05/08/23
262.63,261.58,264.87,261.19,120,152.00,05/05/23
254.21,254.58,256.48,249.64,128,451.00,05/04/23
252.5,253.53,258.4,252.47,211,867.00,05/03/23
269.36,256.75,269.66,255.54,289,515.00,05/02/23
270.3,273.29,274.35,269.61,86,523.00,05/01/23
267.38,274.13,276.49,265.66,144,331.00,04/28/23
265.94,268.08,270.645,264.1,137,506.00,04/27/23
274.33,268.8,277.32,267.08,197,880.00,04/26/23
281.21,274.46,282.27,272.6,182,537.00,04/25/23
277.67,286.18,288.18,277.67,137,682.00,04/24/23
