Open,Close,High,Low,Volume,Date
42.49,42.37,42.68,42.1,93,476.00,05/24/23
42.13,42.22,42.7,42.07,112,928.00,05/23/23
41.75,41.85,42.22,41.75,86,232.00,05/22/23
41.99,41.9,42.25,41.73,123,070.00,05/19/23
41.06,41.61,41.67,40.82,109,027.00,05/18/23
40.9,41.34,41.53,40.69,128,040.00,05/17/23
41.47,40.55,41.54,40.53,76,578.00,05/16/23
41.53,41.63,41.88,41.28,70,874.00,05/15/23
41.4,41.42,41.7,41.09,86,096.00,05/12/23
41.17,41.19,41.38,40.91,86,845.00,05/11/23
42.29,41.68,42.29,41.37,114,067.00,05/10/23
41.78,42.11,42.47,41.69,94,236.00,05/09/23
42.64,42.14,42.86,42.1,78,774.00,05/08/23
42,42.08,42.35,41.9,82,763.00,05/05/23
41.38,40.96,41.78,40.83,166,847.00,05/04/23
41.65,41.39,42.1,41.37,218,219.00,05/03/23
43.61,42.18,43.61,41.78,178,099.00,05/02/23
44.02,44.06,44.53,43.86,52,662.00,05/01/23
43.75,44.57,44.78,43.75,102,966.00,04/28/23
43.72,43.92,44.04,43.38,73,143.00,04/27/23
44.18,43.71,44.42,43.51,87,346.00,04/26/23
44.99,44.53,44.99,44.3,87,588.00,04/25/23
