Open,Close,High,Low,Volume,Date
149.38,149.15,149.93,147.99,982,881.00,05/24/23
149.92,149.7,151.83,149.41,1,143,280.00,05/23/23
151.62,151.08,152.07,150.57,999,034.00,05/22/23
152.46,151.55,152.53,150.79,952,884.00,05/19/23
150.82,152.83,152.885,150.8,1,121,266.00,05/18/23
148.35,150.49,150.65,148.33,1,388,566.00,05/17/23
147.01,147.42,148.73,146.8,836,214.00,05/16/23
148,148.02,148.32,146.74,1,009,093.00,05/15/23
149.6,147.83,149.99,146.95,1,324,050.00,05/12/23
148.49,149.09,149.26,147.96,1,001,097.00,05/11/23
149.01,148.4,149.77,146.73,1,176,015.00,05/10/23
146.88,147.65,147.76,146.65,769,138.00,05/09/23
147.64,147.69,147.75,146.73,859,144.00,05/08/23
145.63,147.19,147.47,145.37,922,255.00,05/05/23
145.41,144.27,146.04,144.04,1,338,822.00,05/04/23
145.94,145.39,147.89,145.28,1,169,692.00,05/03/23
146.18,146.55,146.85,144.77,1,413,519.00,05/02/23
147.5,146.4,147.8,146.19,902,172.00,05/01/23
146.79,147.86,148.05,145.43,1,187,935.00,04/28/23
144.7,147.48,147.65,144.6,1,214,749.00,04/27/23
145.16,143.69,145.63,143.4,1,004,469.00,04/26/23
146.38,144.43,146.63,144.41,1,385,053.00,04/25/23
147.59,147.35,148.46,146,972,290.00,04/24/23
146.95,147.37,147.96,145.82,1,052,528.00,04/21/23
145.61,145.76,147.01,144.94,1,231,790.00,04/20/23
146.8,148.04,148.88,146.75,917,555.00,04/19/23
148.68,148.18,149,147.55,1,569,450.00,04/18/23
147.27,147.94,148.26,146.53,1,258,320.00,04/17/23
146.38,146.9,147.8,145.68,1,392,632.00,04/14/23
144.58,146.71,146.84,144.13,1,921,293.00,04/13/23
147.01,143.54,147.04,143.38,1,344,033.00,04/12/23
145.65,145.8,146.62,145.14,1,466,111.00,04/11/23
143.45,145.57,145.58,142.59,938,925.00,04/10/23
144.23,144.93,145.18,142.91,1,033,406.00,04/06/23
147.31,144.9,147.36,144.59,1,136,802.00,04/05/23
148.66,147.93,148.99,146.64,1,239,752.00,04/04/23
148.19,148.17,148.88,147.14,1,356,369.00,04/03/23
146.58,149.54,149.63,146.51,1,640,088.00,03/31/23
145.77,145.65,146.38,145.1,1,008,344.00,03/30/23
143.24,144.39,144.44,142.74,1,219,897.00,03/29/23
141.83,141.7,142.2,140.74,1,051,067.00,03/28/23
142.94,141.87,143.47,141.3,1,231,183.00,03/27/23
141.71,141.58,141.83,139.81,1,456,348.00,03/24/23
143.91,142.04,144.96,140.65,1,895,574.00,03/23/23
145.5,142.19,146.55,142.14,1,749,550.00,03/22/23
143.35,145.43,145.65,143.29,2,201,021.00,03/21/23
140.74,141.52,142.38,139.75,2,019,570.00,03/20/23
143.13,141.34,143.22,140.2,2,187,102.00,03/17/23
139.75,143.17,143.76,139.64,3,553,707.00,03/16/23
138.75,140.63,140.69,138,2,595,055.00,03/15/23
140.37,140.84,141.24,139.08,2,768,111.00,03/14/23
136.16,138.49,140.26,135.73,2,829,456.00,03/13/23
140.05,138.2,141.5,137.73,4,898,709.00,03/10/23
142.75,139.59,144.22,139.47,2,063,239.00,03/09/23
143,143,143.29,141.53,981,640.00,03/08/23
145.02,143.26,145.74,143.185,1,569,022.00,03/07/23
146.68,145.24,147.18,145.2,1,139,096.00,03/06/23
144.48,146.31,146.55,144.18,1,473,031.00,03/03/23
141.41,143.23,143.44,141.04,1,538,042.00,03/02/23
145.02,143.71,145.48,142.87,1,880,743.00,03/01/23
145.55,145.54,146.61,144.98,1,745,631.00,02/28/23
