Date,Open,High,Low,Close,Adj Close,Volume
2009-11-09,104.000000,108.000000,98.599998,101.720001,75.941467,1714900
2009-11-16,104.000000,110.639999,103.080002,107.040001,79.913216,3919800
2009-11-23,111.599998,113.559998,103.519997,108.360001,80.898705,2887675
2009-11-30,107.959999,118.760002,105.680000,108.559998,81.048004,3962150
2009-12-07,105.000000,109.040001,101.320000,102.120003,76.240082,2993525
2009-12-14,103.040001,106.239998,98.400002,100.279999,74.866386,2176225
2009-12-21,101.480003,105.720001,97.440002,104.519997,78.031860,1349800
2009-12-28,106.320000,106.320000,101.400002,102.959999,76.867210,628075
2010-01-04,106.839996,113.000000,106.199997,112.839996,84.243347,1831650
2010-01-11,116.879997,117.000000,107.559998,109.040001,81.406357,1960250
2010-01-18,108.839996,109.480003,94.120003,96.400002,71.969681,2378925
2010-01-25,97.040001,98.000000,88.199997,88.680000,66.206131,2382050
2010-02-01,89.800003,97.000000,84.720001,91.720001,68.475731,3175950
2010-02-08,91.639999,98.360001,88.879997,97.239998,72.596794,2607475
2010-02-15,100.000000,101.879997,97.480003,98.879997,73.821175,2055250
2010-02-22,99.839996,99.919998,90.239998,96.720001,72.208588,1856375
2010-03-01,97.160004,103.919998,96.080002,103.360001,77.165833,1946300
2010-03-08,103.800003,104.360001,100.199997,103.080002,76.956779,1388075
2010-03-15,103.199997,107.959999,101.599998,104.360001,77.912399,1895975
2010-03-22,101.879997,105.879997,98.959999,102.000000,76.150482,2149000
2010-03-29,103.480003,106.360001,101.959999,106.320000,79.375687,963050
2010-04-05,107.559998,114.000000,107.199997,113.199997,84.512115,2456625
2010-04-12,113.120003,114.080002,106.800003,108.959999,81.346642,2003175
2010-04-19,107.879997,114.160004,106.599998,114.160004,85.228836,1681025
2010-04-26,113.839996,118.519997,110.599998,116.720001,87.140060,2921575
2010-05-03,117.800003,118.599998,104.400002,108.680000,81.137604,3788700
2010-05-10,111.120003,125.120003,110.400002,118.279999,88.304695,3654125
2010-05-17,118.320000,118.720001,97.000000,102.800003,76.747749,3862350
2010-05-24,104.639999,110.800003,100.800003,108.599998,81.077873,1989350
2010-05-31,109.440002,111.680000,105.000000,105.440002,78.718697,1324950
2010-06-07,105.199997,112.639999,104.519997,112.199997,83.765556,1935825
2010-06-14,112.839996,121.440002,109.959999,121.400002,90.634018,1882700
2010-06-21,122.040001,122.599998,111.320000,118.480003,88.454018,1938100
2010-06-28,118.400002,120.279999,101.760002,104.839996,78.270752,2389600
2010-07-05,105.720001,107.599998,101.440002,107.279999,80.092407,1200550
2010-07-12,106.839996,108.839996,103.320000,104.040001,77.673500,1075025
2010-07-19,103.040001,106.360001,100.400002,105.519997,78.778435,1363500
2010-07-26,106.519997,106.919998,101.879997,106.680000,79.644440,1068050
2010-08-02,108.199997,114.000000,105.559998,113.199997,84.512115,1408100
2010-08-09,113.480003,114.120003,108.919998,113.680000,84.870468,1357000
2010-08-16,114.360001,119.919998,114.199997,117.680000,87.856758,1304350
2010-08-23,118.000000,121.360001,112.239998,121.199997,90.484703,1265900
2010-08-30,121.559998,128.440002,119.760002,127.959999,95.531540,1430700
2010-09-06,129.039993,132.199997,126.040001,128.679993,96.069061,1464275
2010-09-13,129.520004,136.000000,127.879997,134.800003,100.638107,2040950
2010-09-20,135.600006,139.279999,132.479996,135.039993,100.817261,2385825
2010-09-27,136.800003,137.679993,130.360001,136.759995,102.101372,2687400
2010-10-04,135.440002,143.199997,132.839996,140.360001,104.789040,2970200
2010-10-11,139.759995,147.080002,137.839996,142.600006,106.461365,2471800
2010-10-18,140.679993,145.759995,132.440002,135.759995,101.354790,2800300
2010-10-25,139.639999,144.880005,135.559998,144.720001,108.044121,2403400
2010-11-01,145.639999,164.240005,143.720001,162.039993,120.974724,4101150
2010-11-08,161.759995,173.240005,154.559998,156.720001,117.002983,5041175
2010-11-15,157.679993,158.000000,145.320007,156.559998,116.883530,3867775
2010-11-22,155.759995,159.600006,154.000000,155.600006,116.166824,1542375
2010-11-29,155.080002,172.000000,152.440002,171.839996,128.291183,3025125
2010-12-06,172.119995,179.440002,161.559998,166.240005,124.110382,4839825
2010-12-13,170.080002,171.119995,160.800003,167.240005,124.856934,3558150
2010-12-20,167.880005,168.679993,150.080002,152.839996,114.106270,2515675
2010-12-27,153.360001,161.039993,151.199997,159.559998,128.358368,2084825
2011-01-03,161.039993,163.199997,143.080002,144.720001,116.420319,4364625
2011-01-10,144.919998,153.000000,141.440002,142.600006,114.714882,3511350
2011-01-17,143.759995,146.800003,134.759995,135.639999,109.115868,2823550
2011-01-24,135.279999,140.839996,130.039993,138.520004,111.432701,5093500
2011-01-31,138.720001,152.119995,136.320007,150.080002,120.732162,3807825
2011-02-07,150.679993,154.000000,143.440002,146.199997,117.610878,3324475
2011-02-14,147.600006,157.639999,147.600006,155.960007,125.462349,2999400
2011-02-21,158.800003,158.800003,146.919998,151.440002,121.826241,3211450
2011-02-28,152.199997,160.240005,151.679993,159.800003,128.551437,3266925
2011-03-07,162.240005,163.160004,143.279999,150.679993,121.214828,3009975
2011-03-14,148.440002,150.240005,136.279999,147.600006,118.737122,3903900
2011-03-21,151.399994,160.800003,150.199997,154.479996,124.271759,3382900
2011-03-28,152.160004,158.600006,150.759995,156.000000,125.494545,2151175
2011-04-04,158.000000,171.880005,156.960007,169.399994,136.274170,4003800
2011-04-11,169.720001,170.000000,156.440002,162.320007,130.578705,3517200
2011-04-18,161.080002,168.479996,156.240005,167.399994,134.665268,2435750
2011-04-25,169.080002,169.600006,158.119995,166.600006,134.021698,3659425
2011-05-02,162.320007,165.520004,141.559998,147.440002,118.608421,5393525
2011-05-09,149.679993,152.320007,137.399994,138.759995,111.625763,4160000
2011-05-16,138.039993,145.279999,134.000000,144.600006,116.323761,3686075
2011-05-23,142.039993,150.199997,139.960007,149.759995,120.474739,2892925
2011-05-30,151.559998,153.320007,143.679993,144.360001,116.130707,1907975
2011-06-06,145.080002,145.919998,135.160004,139.479996,112.204964,3308775
2011-06-13,138.199997,138.279999,128.600006,130.559998,105.029266,3602225
2011-06-20,130.160004,141.440002,129.279999,131.960007,106.155502,3302025
2011-06-27,130.880005,138.000000,128.240005,135.639999,109.115868,2861225
2011-07-04,138.279999,147.320007,137.759995,145.679993,117.192574,2555950
2011-07-11,145.119995,154.880005,140.080002,152.160004,122.405434,5159950
2011-07-18,154.479996,157.000000,149.399994,154.720001,124.464813,3255975
2011-07-25,157.000000,158.000000,142.399994,144.199997,116.001984,3550825
2011-08-01,144.800003,152.839996,126.480003,130.919998,105.318863,5732175
2011-08-08,131.880005,144.399994,128.839996,140.000000,112.623306,7243000
2011-08-15,139.720001,146.880005,137.399994,140.800003,113.266853,2913725
2011-08-22,144.399994,148.240005,135.039993,143.639999,115.551506,4762375
2011-08-29,145.199997,154.360001,141.440002,153.119995,123.177711,3613325
2011-09-05,154.080002,156.919998,146.960007,153.080002,123.145515,3848750
2011-09-12,149.559998,151.039993,138.399994,146.440002,117.803970,4303025
2011-09-19,146.320007,148.279999,114.800003,118.760002,95.536728,5473875
2011-09-26,117.160004,125.680000,109.760002,112.599998,90.581306,5418150
2011-10-03,114.919998,120.839996,100.879997,116.199997,93.477341,4667625
2011-10-10,119.320000,126.360001,118.720001,124.160004,99.880775,2809425
2011-10-17,124.080002,124.480003,110.639999,114.639999,92.222389,3238525
2011-10-24,116.559998,131.240005,116.559998,129.639999,104.289154,4320825
2011-10-31,126.120003,130.360001,116.400002,128.759995,103.581245,3631050
2011-11-07,129.800003,133.880005,122.120003,129.360001,104.063934,3894000
2011-11-14,128.839996,129.199997,115.519997,116.959999,94.088722,3552300
2011-11-21,114.120003,115.000000,107.000000,107.879997,86.784294,2868950
2011-11-28,113.559998,123.040001,111.440002,118.599998,95.408020,2947475
2011-12-05,119.400002,121.720001,113.519997,115.959999,93.284271,2493700
