Date,Open,High,Low,Close,Adj Close,Volume
2006-05-01,48.619999,50.099998,48.619999,50.099998,44.535919,39900
2006-05-08,49.650002,49.799999,46.830002,46.980000,41.762436,50700
2006-05-15,47.070000,47.070000,44.360001,44.639999,39.682304,89100
2006-05-22,44.000000,44.959999,43.619999,44.500000,39.557858,47300
2006-05-29,43.770000,43.830002,42.520000,42.860001,38.099983,57700
2006-06-05,42.009998,42.009998,38.000000,39.490002,35.104279,123000
2006-06-12,38.630001,39.660000,37.310001,39.080002,34.739799,62600
2006-06-19,39.299999,39.299999,37.720001,38.889999,34.570904,28100
2006-06-26,38.959999,40.169998,38.139999,39.369999,35.029003,92300
2006-07-03,39.299999,39.380001,38.400002,38.430000,34.192665,82000
2006-07-10,38.389999,38.650002,34.020000,34.500000,30.695999,175400
2006-07-17,34.439999,34.959999,32.500000,33.419998,29.735062,314000
2006-07-24,33.669998,35.750000,33.669998,35.290001,31.398876,383800
2006-07-31,34.770000,38.330002,34.250000,36.750000,32.697887,112900
2006-08-07,36.730000,37.650002,33.419998,33.430000,29.743975,792900
2006-08-14,33.599998,36.470001,32.959999,35.910000,31.950520,132400
2006-08-21,35.410000,35.439999,33.910000,34.759998,30.927315,494700
2006-08-28,35.230000,36.049999,34.500000,35.830002,31.879349,644600
2006-09-04,35.650002,35.720001,33.150002,34.639999,30.820538,948800
2006-09-11,34.400002,38.750000,34.000000,38.000000,33.810066,1674800
2006-09-18,38.099998,38.759998,36.049999,37.119999,33.027100,1059800
2006-09-25,37.150002,39.540001,37.000000,37.000000,32.920334,1989200
2006-10-02,36.639999,38.150002,36.500000,37.529999,33.451035,612400
2006-10-09,37.320000,40.070000,37.139999,38.779999,34.565174,988300
2006-10-16,39.020000,39.490002,37.919998,38.230000,34.074974,1503300
2006-10-23,38.189999,40.240002,37.470001,39.189999,34.930607,468500
2006-10-30,39.000000,39.680000,37.220001,37.560001,33.477787,343500
2006-11-06,37.639999,37.849998,35.849998,37.230000,33.183643,1027200
2006-11-13,37.250000,40.689999,36.880001,40.009998,35.661495,2830200
2006-11-20,40.049999,40.959999,39.430000,40.580002,36.169556,669200
2006-11-27,40.580002,42.730000,39.150002,42.230000,37.640209,1058700
2006-12-04,42.200001,44.330002,41.779999,42.200001,37.613476,899000
2006-12-11,42.330002,43.060001,41.889999,42.400002,37.791763,462200
2006-12-18,42.490002,42.570000,40.970001,41.119999,36.650860,506900
2006-12-25,41.250000,42.869999,41.209999,42.369999,37.825184,261200
2007-01-01,42.200001,42.200001,40.290001,40.380001,36.048645,382900
2007-01-08,40.160000,40.580002,39.220001,40.439999,36.102192,922800
2007-01-15,40.849998,41.660000,40.119999,41.580002,37.119907,681900
2007-01-22,41.509998,42.750000,40.360001,40.570000,36.218250,1063700
2007-01-29,40.490002,44.709999,40.490002,44.459999,39.690998,769000
2007-02-05,44.060001,44.290001,41.480000,41.639999,37.173466,601300
2007-02-12,41.709999,42.700001,41.139999,42.410000,37.860874,483100
2007-02-19,42.439999,42.630001,40.439999,40.610001,36.253952,417900
2007-02-26,40.580002,40.939999,37.610001,38.119999,34.031044,841600
2007-03-05,37.290001,37.950001,36.250000,37.410000,33.397198,710700
2007-03-12,37.220001,37.270000,34.529999,36.209999,32.325943,701900
2007-03-19,36.500000,38.060001,35.919998,36.820000,32.870491,405100
2007-03-26,36.919998,36.919998,34.130001,34.150002,30.543741,310900
2007-04-02,34.400002,34.669998,33.660000,34.509998,30.865717,1181400
2007-04-09,34.599998,34.820000,33.540001,34.470001,30.829947,396600
2007-04-16,34.720001,37.160000,34.720001,37.060001,33.146439,1416500
2007-04-23,37.119999,38.209999,35.740002,37.070000,33.155388,532200
2007-04-30,37.080002,37.330002,35.700001,36.259998,32.430927,572300
2007-05-07,36.500000,36.720001,35.439999,35.759998,31.983721,220800
2007-05-14,35.779999,36.369999,35.049999,36.150002,32.332569,1381500
2007-05-21,36.250000,38.939999,36.250000,37.330002,33.387928,1743200
2007-05-28,37.520000,37.689999,36.700001,36.700001,32.824459,573700
2007-06-04,36.939999,37.310001,34.200001,35.320000,31.590195,1673200
2007-06-11,34.849998,34.980000,33.610001,34.279999,30.660009,665300
2007-06-18,34.250000,34.369999,32.709999,32.930000,29.452572,551500
2007-06-25,32.900002,32.930000,31.150000,31.309999,28.003639,2631900
2007-07-02,31.280001,31.870001,30.660000,31.730000,28.436333,1303300
2007-07-09,31.570000,31.900000,29.750000,31.799999,28.499056,1367100
2007-07-16,31.680000,33.000000,29.969999,30.459999,27.298157,2270300
2007-07-23,30.450001,30.629999,26.660000,27.070000,24.260061,3069600
2007-07-30,27.150000,27.639999,24.049999,25.150000,22.539360,3084400
2007-08-06,25.320000,29.540001,23.870001,27.400000,24.555796,6329500
2007-08-13,27.879999,27.980000,22.280001,24.930000,22.342194,2727200
2007-08-20,25.100000,25.190001,24.000000,24.500000,21.956827,1057900
2007-08-27,24.500000,24.780001,22.280001,23.639999,21.186096,1871400
2007-09-03,23.650000,24.430000,21.920000,21.990000,19.707371,910900
2007-09-10,22.280001,22.290001,21.120001,22.080000,19.788033,2919600
2007-09-17,22.180000,25.200001,21.870001,22.400000,20.074818,3836900
2007-09-24,22.600000,22.670000,19.670000,19.870001,17.807428,3368900
2007-10-01,20.250000,22.980000,19.670000,22.780001,20.473997,3963100
2007-10-08,22.730000,22.760000,21.540001,21.719999,19.521311,2100000
2007-10-15,21.320000,21.820000,19.150000,19.400000,17.436155,3215600
2007-10-22,19.080000,21.730000,19.080000,21.510000,19.332565,3719900
2007-10-29,21.690001,21.780001,19.309999,19.709999,17.714769,4063300
2007-11-05,19.250000,19.959999,18.370001,19.090000,17.157537,2180300
2007-11-12,19.299999,20.490000,18.549999,18.709999,16.816004,1228000
2007-11-19,18.530001,18.590000,16.420000,16.900000,15.189230,2053000
2007-11-26,16.690001,17.400000,15.380000,17.150000,15.413923,2713200
2007-12-03,17.250000,19.459999,16.680000,19.000000,17.076643,1895300
2007-12-10,19.190001,20.170000,17.670000,17.879999,16.070015,2413900
2007-12-17,17.910000,18.500000,17.209999,18.100000,16.267752,1395500
2007-12-24,18.230000,18.430000,17.160000,17.250000,15.503796,1039400
2007-12-31,17.049999,17.780001,14.500000,15.300000,13.824473,2243600
2008-01-07,15.310000,15.470000,13.410000,14.460000,13.065479,2900600
2008-01-14,14.600000,15.200000,14.050000,14.900000,13.463048,1918800
2008-01-21,14.110000,19.200001,14.100000,17.990000,16.255037,5523800
2008-01-28,18.020000,21.760000,16.809999,21.570000,19.489792,7689000
2008-02-04,21.590000,21.639999,18.299999,18.850000,17.032108,6066900
2008-02-11,18.879999,19.850000,17.920000,18.200001,16.444796,3025300
2008-02-18,18.240000,19.719999,18.090000,18.650000,16.851397,2636200
2008-02-25,18.799999,21.350000,18.299999,18.500000,16.715872,4743200
2008-03-03,18.490000,18.680000,16.309999,16.770000,15.152705,5167400
2008-03-10,16.969999,19.040001,16.299999,17.639999,15.938804,4664200
2008-03-17,17.290001,20.250000,16.700001,19.870001,17.953737,4114700
2008-03-24,20.430000,21.680000,19.330000,19.430000,17.556170,9289300
2008-03-31,19.490000,22.500000,19.260000,22.110001,20.051132,10690200
2008-04-07,22.580000,22.990000,20.059999,20.370001,18.473164,10866100
2008-04-14,20.360001,21.600000,19.500000,21.090000,19.126116,5540600
2008-04-21,20.950001,20.990000,19.350000,20.730000,18.799635,5901200
2008-04-28,20.780001,21.400000,19.959999,20.639999,18.718023,3306200
2008-05-05,20.559999,21.030001,18.680000,18.860001,17.103767,4148600
2008-05-12,18.879999,20.150000,18.510000,19.450001,17.638838,2865000
2008-05-19,19.430000,19.500000,16.750000,17.010000,15.426046,3983100
2008-05-26,17.049999,17.840000,16.990000,17.270000,15.661829,2047000
2008-06-02,17.120001,17.950001,16.320000,16.370001,14.845642,3385100
2008-06-09,16.309999,16.730000,15.050000,15.840000,14.364991,4125000
2008-06-16,15.890000,16.280001,15.420000,15.710000,14.247098,1787100
2008-06-23,15.760000,16.070000,14.460000,14.770000,13.394629,2530400
2008-06-30,14.590000,14.750000,13.460000,13.790000,12.565412,2477500
2008-07-07,13.780000,14.590000,12.310000,12.680000,11.553982,4860700
2008-07-14,12.850000,15.200000,11.940000,14.610000,13.312592,4357600
2008-07-21,14.750000,16.950001,14.350000,15.140000,13.795524,6468300
2008-07-28,15.240000,15.850000,14.360000,15.320000,13.959540,4816400
2008-08-04,15.300000,16.309999,14.700000,16.150000,14.715838,4234900
2008-08-11,16.290001,17.120001,15.080000,16.180000,14.743172,3759100
2008-08-18,16.070000,16.350000,14.700000,16.100000,14.670272,3155900
2008-08-25,15.990000,16.730000,14.580000,16.530001,15.062091,5515200
2008-09-01,17.000000,17.500000,15.440000,16.610001,15.134988,2589700
2008-09-08,18.100000,18.420000,16.549999,18.059999,16.456219,7233900
2008-09-15,17.190001,20.020000,15.590000,19.750000,17.996143,6623900
2008-09-22,19.430000,19.719999,16.930000,18.930000,17.248964,4543000
2008-09-29,18.500000,18.500000,15.650000,16.190001,14.799579,3382000
2008-10-06,15.180000,15.650000,11.660000,13.400000,12.249189,4277600
2008-10-13,13.990000,14.500000,11.450000,12.390000,11.325933,3464900
2008-10-20,12.610000,13.320000,9.500000,10.350000,9.461125,2547100
2008-10-27,9.940000,12.420000,9.250000,12.390000,11.325933,3274300
2008-11-03,12.500000,13.200000,11.100000,11.350000,10.375247,2265100
2008-11-10,11.270000,11.650000,8.550000,9.510000,8.693267,2194500
2008-11-17,9.440000,9.570000,6.450000,7.110000,6.499383,2342400
2008-11-24,7.150000,10.320000,7.130000,10.060000,9.196035,2069700
2008-12-01,9.730000,11.420000,8.680000,11.240000,10.274696,2852000
2008-12-08,11.730000,12.100000,10.290000,11.150000,10.192420,1927900
2008-12-15,11.050000,12.200000,10.100000,10.620000,9.707938,3327500
2008-12-22,10.590000,10.590000,9.360000,9.480000,8.665845,873700
2008-12-29,9.430000,10.170000,9.100000,10.060000,9.313993,1019500
2009-01-05,10.130000,11.030000,9.920000,10.390000,9.619519,1297400
2009-01-12,10.270000,10.500000,8.850000,9.480000,8.777002,1307100
2009-01-19,9.500000,9.500000,8.360000,8.870000,8.212240,1470500
2009-01-26,8.900000,9.900000,8.580000,8.630000,7.990036,1375200
2009-02-02,8.500000,10.410000,8.500000,10.140000,9.388061,2304900
2009-02-09,10.020000,10.110000,8.420000,8.920000,8.258531,3094500
2009-02-16,8.530000,8.810000,7.220000,7.480000,6.925313,1275000
2009-02-23,7.570000,8.260000,7.370000,7.430000,6.879020,1992000
2009-03-02,7.180000,7.430000,6.330000,6.480000,5.999470,1249200
2009-03-09,6.510000,8.110000,6.350000,7.930000,7.341943,1585800
2009-03-16,7.900000,9.050000,7.550000,7.900000,7.314168,2950400
2009-03-23,8.310000,9.810000,8.060000,9.540000,8.832554,2744400
2009-03-30,9.410000,9.620000,8.500000,9.580000,8.869585,1659500
2009-04-06,9.490000,9.630000,8.800000,9.600000,8.888102,1838600
2009-04-13,9.420000,10.760000,9.200000,10.700000,9.906533,2353300
2009-04-20,10.500000,11.370000,9.580000,11.190000,10.360196,2017500
2009-04-27,10.990000,11.770000,10.790000,10.920000,10.110218,2154300
2009-05-04,11.120000,11.900000,10.670000,11.300000,10.462039,3211600
2009-05-11,10.980000,11.170000,9.830000,10.080000,9.332509,1726400
2009-05-18,10.280000,10.930000,9.780000,9.920000,9.184369,1696800
2009-05-25,9.990000,10.620000,9.520000,9.950000,9.212146,1189200
2009-06-01,10.220000,10.550000,9.890000,9.960000,9.221408,2787200
2009-06-08,9.860000,10.450000,9.700000,9.880000,9.147338,825000
2009-06-15,9.710000,9.880000,9.300000,9.540000,8.832554,1360700
2009-06-22,9.440000,9.840000,9.200000,9.710000,8.989944,1133200
2009-06-29,9.810000,10.000000,9.530000,9.560000,8.881564,657400
2009-07-06,9.500000,9.550000,8.900000,9.140000,8.491369,1184600
2009-07-13,9.120000,10.440000,8.940000,10.440000,9.699111,1004900
2009-07-20,10.390000,11.520000,10.300000,11.420000,10.609566,2005100
2009-07-27,11.690000,12.200000,11.270000,12.120000,11.259887,4090900
2009-08-03,12.300000,13.200000,11.920000,12.950000,12.030989,3192500
2009-08-10,13.000000,13.060000,12.290000,12.580000,11.687245,3367700
2009-08-17,12.210000,13.190000,11.940000,13.020000,12.096023,4926700
2009-08-24,13.190000,13.700000,12.870000,13.480000,12.523376,7253000
2009-08-31,13.190000,13.390000,12.130000,12.700000,11.798730,2105900
2009-09-07,12.820000,13.320000,12.690000,12.980000,12.058861,1350400
2009-09-14,13.020000,13.930000,12.770000,13.510000,12.551250,2411800
2009-09-21,13.490000,13.620000,12.330000,12.390000,11.510731,2211700
2009-09-28,12.420000,12.800000,11.460000,11.520000,10.717644,3395400
2009-10-05,11.540000,12.380000,11.520000,12.280000,11.424709,3090300
2009-10-12,12.390000,12.770000,12.190000,12.570000,11.694511,1870300
2009-10-19,12.590000,12.760000,11.900000,12.210000,11.359583,2767300
2009-10-26,12.210000,12.420000,11.070000,11.140000,10.364114,4869000
2009-11-02,11.150000,11.840000,10.790000,11.700000,10.885105,2704900
2009-11-09,11.830000,12.420000,11.730000,12.060000,11.220034,1584900
2009-11-16,12.060000,12.370000,11.520000,11.610000,10.801377,1876800
2009-11-23,11.790000,12.000000,11.310000,11.480000,10.680428,1384600
2009-11-30,11.440000,11.810000,11.330000,11.530000,10.726948,4449000
2009-12-07,11.500000,11.600000,11.160000,11.410000,10.615308,1612300
2009-12-14,11.430000,11.760000,11.320000,11.600000,10.792075,975300
2009-12-21,11.610000,12.280000,11.520000,12.280000,11.424709,3996200
2009-12-28,12.320000,12.390000,11.960000,12.010000,11.195612,712800
2010-01-04,12.030000,13.060000,11.920000,12.980000,12.099838,4101000
2010-01-11,13.070000,13.090000,12.650000,12.810000,11.941366,3372100
2010-01-18,12.840000,12.960000,12.110000,12.150000,11.326118,1032800
2010-01-25,12.190000,12.590000,11.990000,12.340000,11.503236,1165100
2010-02-01,12.350000,13.110000,12.090000,12.400000,11.559168,1629800
2010-02-08,12.380000,13.140000,12.290000,13.120000,12.230345,3003100
2010-02-15,13.170000,13.460000,13.090000,13.270000,12.370173,2449500
2010-02-22,13.340000,13.350000,12.510000,12.890000,12.015943,6242100
2010-03-01,12.920000,13.530000,12.880000,13.520000,12.603219,1526900
2010-03-08,13.560000,13.890000,13.520000,13.640000,12.715083,1053200
2010-03-15,13.580000,13.930000,13.440000,13.460000,12.547291,1046600
