Date,Open,High,Low,Close,Adj Close,Volume
2000-06-12,17.203125,17.260418,17.182293,17.255207,10.380518,6000
2000-06-19,17.177082,17.307293,16.593750,16.880207,10.154922,27600
2000-06-26,16.916668,16.916668,16.291668,16.291668,9.800863,14400
2000-07-03,16.333332,16.458332,15.635417,15.875000,9.550205,22500
2000-07-10,15.833333,16.583332,15.833333,16.010418,9.631669,54600
2000-07-17,16.093750,16.093750,15.500000,15.541667,9.349671,9000
2000-07-24,15.520833,15.812500,15.125000,15.812500,9.512604,184200
2000-07-31,15.802083,16.395832,15.739583,16.177082,9.731931,22200
2000-08-07,16.291668,16.875000,16.291668,16.729168,10.064064,42600
2000-08-14,16.885418,17.739582,16.885418,17.468750,10.508986,372600
2000-08-21,17.406250,17.947918,17.406250,17.593750,10.584185,42000
2000-08-28,17.656250,17.885418,17.385418,17.750000,10.678184,84600
2000-09-04,17.760418,18.208332,17.562500,17.833332,10.728312,93900
2000-09-11,17.916668,18.677082,17.916668,18.583332,11.179502,251700
2000-09-18,18.729168,18.729168,17.104168,17.187500,10.339786,2835000
2000-09-25,16.916668,18.062500,16.697918,17.869793,10.750244,2060100
2000-10-02,18.041668,18.270832,17.286457,17.416668,10.477653,312300
2000-10-09,17.625000,18.875000,17.500000,18.020832,10.841114,840900
2000-10-16,17.750000,18.072918,17.458332,17.927082,10.784713,281700
2000-10-23,17.968750,17.968750,16.510418,16.614582,10.014917,578700
2000-10-30,16.562500,17.583332,16.552082,17.203125,10.369676,233400
2000-11-06,16.895832,17.510418,16.895832,17.135418,10.328861,146400
2000-11-13,17.197918,17.708332,16.854168,17.510418,10.554900,417300
2000-11-20,17.656250,17.817707,17.500000,17.781250,10.718155,153300
2000-11-27,17.656250,17.791668,16.052082,16.562500,9.983517,1221600
2000-12-04,16.927082,17.000000,16.447918,16.875000,10.171887,400200
2000-12-11,17.000000,17.364582,16.645832,16.833332,10.146772,388800
2000-12-18,16.937500,17.760418,16.937500,17.416668,10.498393,124200
2000-12-25,17.666668,18.541668,17.666668,18.328125,11.081211,631200
2001-01-01,18.500000,18.666668,16.864582,17.354168,10.492356,264300
2001-01-08,17.541668,17.583332,17.135418,17.390625,10.514397,150900
2001-01-15,17.322918,17.520832,16.375000,16.661457,10.073543,886500
2001-01-22,16.791668,17.677082,16.739582,17.291668,10.454568,270300
2001-01-29,17.150000,17.556667,17.066668,17.523333,10.594628,337500
2001-02-05,17.706667,18.556667,17.666668,18.496668,11.183109,339600
2001-02-12,18.333332,18.343332,17.726667,18.086666,10.935222,270900
2001-02-19,18.016666,18.186666,17.416668,17.586666,10.632924,301800
2001-02-26,17.526667,18.150000,17.526667,18.066668,10.923140,199200
2001-03-05,18.100000,19.196667,18.100000,19.033333,11.507575,300300
2001-03-12,18.750000,18.766666,17.533333,17.606667,10.673547,564600
2001-03-19,17.650000,18.276667,16.566668,17.100000,10.366397,744300
2001-03-26,17.350000,17.523333,16.693333,17.250000,10.457326,338400
2001-04-02,17.283333,17.283333,16.250000,17.183332,10.416908,78300
2001-04-09,17.400000,18.013332,17.360001,17.370001,10.530078,185400
2001-04-16,17.866667,18.400000,17.673332,18.000000,10.911997,1676700
2001-04-23,18.283333,19.213333,18.283333,19.133333,11.599046,908400
2001-04-30,19.116667,19.266666,17.756666,18.379999,11.142361,721200
2001-05-07,18.400000,18.733334,18.200001,18.400000,11.154487,328500
2001-05-14,18.583332,19.666668,18.583332,19.666668,11.922364,1392300
2001-05-21,19.700001,19.700001,18.776667,18.780001,11.384854,705000
2001-05-28,18.933332,19.049999,18.559999,18.786667,11.388891,248400
2001-06-04,19.066668,19.133333,18.200001,18.389999,11.148425,614400
2001-06-11,18.450001,18.726667,18.033333,18.120001,11.011290,648900
2001-06-18,18.133333,18.146667,17.133333,17.500000,10.634523,746400
2001-06-25,17.416668,17.583332,16.540001,16.913334,10.278013,696900
2001-07-02,16.866667,17.090000,16.663334,16.983334,10.320550,462000
2001-07-09,16.783333,16.830000,16.053333,16.400000,9.966071,771000
2001-07-16,16.500000,16.500000,15.526667,16.433332,9.986323,603900
2001-07-23,16.566668,16.963333,15.703333,16.963333,10.308395,207600
2001-07-30,16.833332,17.096666,16.360001,16.473333,10.010633,120900
2001-08-06,16.373333,16.533333,15.866667,16.290001,9.899226,148200
2001-08-13,16.333332,16.860001,16.233334,16.410000,9.972149,150000
2001-08-20,16.366667,16.790001,16.236668,16.466667,10.006583,1329000
2001-08-27,16.583332,16.610001,15.940000,16.053333,9.755404,203100
2001-09-03,16.150000,16.396667,16.000000,16.386667,9.957968,72900
2001-09-10,16.200001,16.353333,16.129999,16.353333,9.937707,16800
2001-09-17,16.250000,16.250000,13.866667,14.366667,8.730436,1887600
2001-09-24,14.400000,14.660000,13.470000,14.640000,8.896541,219300
2001-10-01,14.450000,15.310000,14.086667,15.223333,9.251024,155400
2001-10-08,15.166667,16.156668,15.123333,15.830000,9.653317,109200
2001-10-15,15.800000,16.023333,14.896667,15.333333,9.350444,200100
2001-10-22,15.333333,16.166668,14.990000,16.100000,9.817963,99000
2001-10-29,16.116667,16.250000,15.350000,15.366667,9.370770,145200
2001-11-05,15.450000,15.926667,14.896667,15.853333,9.667542,158100
2001-11-12,15.600000,15.960000,14.183333,14.573333,8.886986,920400
2001-11-19,14.616667,15.283333,14.333333,15.240000,9.293528,219300
2001-11-26,14.933333,15.153333,14.746667,14.966667,9.126844,260400
2001-12-03,14.750000,15.750000,14.750000,15.250000,9.299624,259200
2001-12-10,15.083333,15.233333,14.570000,14.813333,9.033338,187800
2001-12-17,14.733333,15.550000,14.656667,15.466667,9.464057,230700
2001-12-24,15.483333,16.163334,15.483333,16.023333,9.804681,300600
2001-12-31,16.066668,16.083332,15.533333,15.740000,9.631314,204300
2002-01-07,15.816667,15.840000,15.103333,15.133333,9.260092,281400
2002-01-14,15.000000,15.326667,14.810000,14.833333,9.076523,217200
2002-01-21,14.866667,15.453333,14.666667,15.426667,9.439588,179700
2002-01-28,15.383333,15.383333,14.400000,15.186667,9.292728,168900
2002-02-04,15.066667,15.066667,14.560000,14.630000,8.952100,106800
2002-02-11,14.650000,15.166667,14.553333,15.033333,9.198908,135000
2002-02-18,14.936667,15.496667,14.703333,15.433333,9.443662,212700
2002-02-25,15.550000,15.866667,15.516667,15.863333,9.706778,709500
2002-03-04,15.933333,16.663334,15.916667,16.389999,10.029047,536400
2002-03-11,16.466667,16.896667,16.400000,16.736668,10.277960,300000
2002-03-18,16.766666,17.036667,16.559999,16.639999,10.218596,302400
2002-03-25,16.576668,17.056667,16.486668,16.936666,10.400782,297000
2002-04-01,17.000000,17.196667,16.240000,16.286667,10.001616,399600
2002-04-08,16.716667,16.756666,15.713333,15.776667,9.688423,450900
2002-04-15,16.066668,16.733334,16.066668,16.700001,10.255442,271800
2002-04-22,16.683332,16.740000,16.123333,16.286667,10.001616,135900
2002-04-29,16.223333,16.706667,16.086666,16.616667,10.204270,131700
2002-05-06,16.340000,16.353333,15.850000,16.139999,9.911548,235800
2002-05-13,15.983333,16.576668,15.983333,16.156668,9.921783,178500
2002-05-20,16.016666,16.453333,15.983333,16.243334,9.975000,169200
2002-05-27,16.243334,16.243334,15.580000,15.816667,9.712992,126600
2002-06-03,15.766667,15.790000,15.100000,15.416667,9.467349,273000
2002-06-10,15.336667,15.370000,14.800000,15.166667,9.313823,189600
2002-06-17,15.333333,15.560000,15.030000,15.093333,9.308067,71400
2002-06-24,15.166667,15.500000,14.920000,15.363333,9.474577,142800
2002-07-01,15.250000,15.350000,14.700000,15.140000,9.336846,118800
2002-07-08,15.000000,15.166667,13.726667,13.880000,8.559805,536700
2002-07-15,13.686667,13.853333,12.566667,12.566667,7.749873,364800
2002-07-22,12.733333,12.733333,11.416667,12.616667,7.780707,287700
2002-07-29,12.900000,13.450000,12.333333,12.533333,7.729317,805500
2002-08-05,12.516667,13.490000,11.923333,13.393333,8.259679,353400
2002-08-12,13.283333,14.060000,13.133333,13.966667,8.613256,971700
2002-08-19,14.050000,14.170000,13.400000,13.896667,8.570084,531300
2002-08-26,13.896667,14.350000,13.416667,13.693333,8.444686,236100
2002-09-02,13.233333,13.400000,12.680000,13.246667,8.169231,454200
2002-09-09,13.316667,13.750000,13.033333,13.250000,8.171286,389700
2002-09-16,13.200000,13.383333,12.533333,12.583333,7.791120,342900
2002-09-23,12.583333,13.243333,12.220000,12.853333,7.958291,423300
2002-09-30,12.600000,13.306667,12.300000,12.700000,7.863351,240300
2002-10-07,12.800000,12.973333,12.130000,12.773333,7.908758,322500
2002-10-14,12.833333,13.600000,12.790000,13.546667,8.387575,641700
2002-10-21,13.466667,13.643333,12.966667,13.053333,8.082124,583500
2002-10-28,12.933333,13.220000,12.400000,13.166667,8.152293,1565100
2002-11-04,13.200000,13.333333,12.870000,13.006667,8.053229,477900
2002-11-11,13.000000,13.066667,12.336667,12.996667,8.047039,689400
2002-11-18,12.996667,13.356667,12.900000,13.110000,8.117211,435300
