Date,Open,High,Low,Close,Adj Close,Volume
2000-06-05,48.750000,50.250000,46.593750,49.312500,42.445354,1758800
2000-06-12,49.625000,49.625000,46.625000,48.000000,41.315639,1088000
2000-06-19,48.187500,52.875000,47.812500,48.750000,41.961189,2773600
2000-06-26,49.187500,49.687500,45.625000,47.000000,40.454903,2716800
2000-07-03,46.937500,48.375000,44.062500,47.625000,40.992859,5976200
2000-07-10,47.750000,50.687500,46.281250,50.687500,43.628883,1423800
2000-07-17,50.687500,51.562500,44.375000,44.812500,38.572021,3306600
2000-07-24,44.500000,46.468750,40.125000,40.968750,35.263542,7780600
2000-07-31,41.406250,42.687500,37.625000,39.343750,33.864838,6718800
2000-08-07,39.250000,42.562500,38.843750,41.343750,35.586319,3448600
2000-08-14,42.187500,49.406250,41.500000,48.718750,41.934303,6295800
2000-08-21,49.093750,49.968750,47.125000,49.000000,42.176380,7000600
2000-08-28,48.875000,50.343750,47.875000,48.937500,42.122585,4886200
2000-09-04,48.312500,48.500000,43.812500,43.812500,37.711285,2996000
2000-09-11,43.500000,44.718750,40.937500,41.375000,35.613220,4373200
2000-09-18,41.750000,44.281250,37.531250,39.062500,33.622746,5537600
2000-09-25,40.125000,40.125000,35.400002,35.549999,30.599392,4731400
2000-10-02,36.244999,36.349998,33.125000,33.849998,29.136133,6215600
2000-10-09,33.599998,33.875000,28.875000,32.375000,27.866539,10383600
2000-10-16,32.095001,34.250000,26.875000,33.375000,28.727280,11573400
2000-10-23,33.900002,35.174999,28.655001,30.850000,26.553905,7467800
2000-10-30,30.875000,33.494999,30.129999,32.244999,27.754644,5138200
2000-11-06,32.700001,32.799999,26.305000,26.500000,22.809673,4616400
2000-11-13,25.600000,31.219999,25.600000,28.825001,24.810904,6304400
2000-11-20,27.799999,29.469999,27.049999,29.245001,25.172415,6940000
2000-11-27,29.950001,29.950001,23.139999,23.809999,20.494280,13096400
2000-12-04,24.250000,27.740000,23.129999,27.625000,23.778009,7944000
2000-12-11,27.625000,29.940001,25.125000,25.650000,22.078045,8346200
2000-12-18,26.375000,27.610001,23.125000,25.375000,21.841341,10177400
2000-12-25,25.750000,26.450001,24.250000,24.500000,21.088190,5246400
2001-01-01,24.875000,28.650000,23.100000,25.625000,22.056528,15227600
2001-01-08,25.250000,28.795000,24.504999,27.725000,23.864086,12853800
2001-01-15,27.254999,30.465000,26.250000,29.855000,25.697470,9465200
2001-01-22,29.299999,30.065001,27.150000,28.325001,24.380533,9613200
2001-01-29,27.975000,30.930000,27.375000,28.049999,24.143824,9101400
2001-02-05,27.155001,27.844999,25.135000,25.450001,21.905895,9644800
2001-02-12,25.305000,28.740000,25.135000,26.309999,22.646133,12369000
2001-02-19,26.424999,26.424999,22.165001,23.700001,20.399597,11121800
2001-02-26,23.650000,24.260000,20.225000,22.670000,19.513033,18990000
2001-03-05,23.250000,25.620001,22.665001,22.995001,19.792776,26038400
2001-03-12,21.875000,23.875000,21.379999,21.629999,18.617861,24537600
2001-03-19,21.850000,25.245001,20.959999,24.650000,21.217302,24541200
2001-03-26,24.799999,24.799999,20.254999,20.745001,17.856102,18807200
2001-04-02,20.500000,21.195000,17.405001,18.680000,16.078671,21922000
2001-04-09,18.674999,23.500000,17.504999,23.174999,19.947704,23016800
2001-04-16,22.150000,27.000000,21.025000,25.924999,22.314751,25692200
2001-04-23,24.875000,25.495001,23.315001,24.750000,21.303375,16514400
2001-04-30,25.195000,26.924999,24.225000,25.275000,21.755268,15407800
2001-05-07,25.475000,25.805000,23.920000,24.075001,20.722376,16419800
2001-05-14,23.924999,25.674999,23.125000,25.475000,21.927416,20282200
2001-05-21,25.375000,27.450001,24.700001,25.225000,21.712231,24612000
2001-05-28,24.775000,24.870001,22.275000,23.799999,20.485672,20366000
2001-06-04,23.750000,26.684999,23.225000,25.809999,22.215767,21905600
2001-06-11,25.450001,25.450001,22.000000,22.825001,19.646446,20029400
2001-06-18,23.129999,23.590000,21.100000,21.980000,18.919117,22694400
2001-06-25,22.549999,24.690001,21.950001,24.100000,20.743895,16464400
2001-07-02,23.600000,24.334999,21.504999,21.504999,18.510265,12831600
2001-07-09,21.504999,23.434999,20.700001,22.825001,19.646446,20937600
2001-07-16,22.865000,23.090000,20.900000,22.299999,19.194559,21844600
2001-07-23,22.495001,23.450001,20.610001,23.150000,19.926189,18223800
2001-07-30,23.495001,25.450001,23.004999,24.889999,21.423883,28079600
2001-08-06,24.205000,24.525000,22.190001,23.094999,19.878849,21589400
2001-08-13,23.549999,23.799999,21.674999,21.780001,18.746971,15906200
2001-08-20,21.719999,23.180000,21.000000,23.105000,19.887453,20274000
2001-08-27,23.100000,23.840000,21.250000,21.900000,18.850262,19882400
2001-09-03,21.549999,22.219999,19.660000,19.885000,17.115864,28325000
2001-09-10,19.850000,20.340000,19.510000,19.785000,17.029789,4317600
2001-09-17,18.299999,18.760000,13.905000,14.660000,12.618484,25967800
2001-09-24,15.400000,16.225000,13.655000,14.780000,12.721772,28942200
2001-10-01,14.780000,16.860001,13.805000,16.320000,14.047319,39495200
2001-10-08,16.000000,18.940001,15.900000,18.870001,16.242210,34338000
2001-10-15,18.150000,19.125000,16.379999,17.000000,14.632622,29844000
2001-10-22,17.000000,19.674999,16.700001,19.280001,16.595118,31293400
2001-10-29,19.000000,19.500000,16.950001,19.400000,16.698404,33200000
2001-11-05,19.825001,21.785000,19.540001,20.290001,17.464468,39921600
2001-11-12,19.549999,22.350000,19.549999,21.330000,18.359636,41919000
2001-11-19,21.330000,21.660000,19.875000,20.825001,17.924961,23704200
2001-11-26,21.090000,22.379999,20.719999,21.315001,18.346725,50269600
2001-12-03,21.150000,23.885000,20.885000,22.969999,19.771255,41461800
2001-12-10,22.719999,23.200001,21.500000,22.049999,18.979370,32661400
2001-12-17,22.299999,22.950001,20.299999,20.950001,18.032557,34666400
2001-12-24,21.000000,21.900000,20.700001,21.584999,18.579126,6710200
2001-12-31,21.575001,24.049999,20.850000,23.565001,20.283401,28179400
2002-01-07,23.879999,24.225000,22.510000,22.650000,19.495815,41251200
2002-01-14,22.900000,22.924999,21.125000,21.410000,18.428493,32155200
2002-01-21,21.500000,21.795000,20.309999,21.700001,18.678112,25000000
2002-01-28,22.000000,22.840000,21.305000,22.400000,19.280632,34452000
2002-02-04,22.650000,22.700001,20.809999,21.459999,18.471537,46626600
2002-02-11,21.660000,23.350000,21.559999,22.250000,19.151520,32358400
2002-02-18,21.905001,22.040001,19.950001,20.299999,17.473072,33957000
2002-02-25,20.750000,22.150000,20.135000,22.139999,19.056841,43983800
2002-03-04,22.295000,25.094999,22.174999,24.900000,21.432486,62265200
2002-03-11,24.584999,24.750000,22.510000,23.320000,20.072514,58835000
2002-03-18,23.625000,24.000000,22.815001,23.125000,19.904669,44510200
2002-03-25,23.299999,23.645000,22.400000,23.264999,20.025175,25435800
2002-04-01,23.049999,24.094999,22.370001,22.625000,19.474297,41231800
2002-04-08,22.004999,23.059999,21.400000,21.850000,18.807226,49488400
2002-04-15,21.834999,24.049999,21.629999,22.695000,19.534550,61593200
2002-04-22,22.625000,22.709999,20.340000,20.475000,17.623705,48066200
2002-04-29,20.520000,21.400000,18.900000,19.049999,16.397144,75247400
2002-05-06,19.049999,21.020000,18.225000,19.389999,16.689796,61605600
2002-05-13,19.594999,22.400000,19.555000,22.049999,18.979370,65506800
2002-05-20,21.750000,21.900000,20.025000,20.184999,17.374086,46082800
2002-05-27,20.315001,20.325001,18.725000,19.225000,16.547775,39998800
2002-06-03,19.225000,19.225000,16.700001,17.350000,14.933883,66737400
2002-06-10,17.400000,17.625000,15.625000,16.719999,14.391614,44143200
2002-06-17,16.924999,18.100000,14.700000,14.875000,12.803543,50695400
2002-06-24,14.650000,15.975000,14.125000,15.175000,13.061767,75162600
2002-07-01,15.050000,15.795000,13.550000,15.795000,13.595428,44413800
2002-07-08,15.650000,15.900000,13.525000,14.855000,12.786329,71734400
2002-07-15,14.750000,16.205000,14.375000,14.505000,12.485072,88511000
2002-07-22,14.500000,14.895000,12.350000,12.840000,11.051932,92615400
2002-07-29,13.240000,14.090000,11.805000,12.075000,10.393466,72581600
2002-08-05,12.025000,12.900000,11.100000,12.650000,10.888391,49023200
2002-08-12,12.400000,13.925000,11.750000,13.680000,11.774959,57035400
2002-08-19,13.685000,14.600000,13.135000,13.380000,11.516735,68968400
2002-08-26,13.400000,13.550000,11.810000,12.050000,10.371947,49396600
2002-09-02,11.855000,11.900000,11.010000,11.695000,10.066384,50051600
2002-09-09,11.575000,12.625000,11.000000,11.390000,9.803860,36604600
2002-09-16,11.300000,11.470000,10.035000,10.095000,8.689197,58132000
2002-09-23,10.025000,10.595000,9.300000,10.000000,8.607427,69499600
2002-09-30,9.780000,10.715000,9.160000,9.355000,8.052246,69756200
2002-10-07,9.390000,10.365000,8.660000,10.180000,8.762359,102284200
2002-10-14,10.050000,11.175000,9.885000,10.975000,9.446651,80253200
2002-10-21,10.875000,12.040000,10.605000,11.840000,10.191191,95075800
2002-10-28,12.075000,12.700000,11.035000,12.625000,10.866874,79185400
2002-11-04,13.050000,13.590000,11.880000,12.200000,10.501060,104541600
2002-11-11,12.025000,12.840000,11.450000,12.810000,11.026111,70689600
2002-11-18,12.815000,14.480000,12.395000,14.200000,12.222545,82591400
2002-11-25,14.215000,15.150000,14.030000,14.650000,12.609879,46746600
2002-12-02,15.375000,15.500000,12.700000,13.045000,11.228386,85625000
2002-12-09,12.800000,13.000000,12.125000,12.140000,10.449413,73922200
2002-12-16,12.160000,12.875000,11.350000,11.650000,10.027649,90744200
2002-12-23,11.595000,12.070000,11.415000,11.490000,9.889933,20781000
2002-12-30,11.675000,12.150000,11.005000,12.025000,10.350428,39595800
2003-01-06,12.200000,13.050000,12.130000,12.770000,10.991681,72345400
2003-01-13,13.065000,13.220000,11.300000,11.390000,9.803860,58710000
2003-01-20,11.425000,11.700000,11.050000,11.100000,9.554241,53943400
2003-01-27,10.990000,11.515000,10.220000,10.750000,9.252980,73552000
2003-02-03,10.730000,11.095000,10.225000,10.320000,8.882862,49368800
2003-02-10,10.355000,11.010000,10.180000,11.005000,9.472470,49180200
2003-02-17,11.205000,11.625000,11.105000,11.520000,9.915751,41718400
2003-02-24,11.430000,11.800000,11.000000,11.770000,10.130939,66391400
2003-03-03,11.800000,11.945000,10.900000,11.205000,9.644619,60844200
2003-03-10,11.105000,12.325000,10.915000,11.990000,10.320303,60735800
2003-03-17,11.955000,13.250000,11.830000,13.180000,11.344587,70734400
2003-03-24,12.575000,12.825000,12.125000,12.195000,10.496755,60646000
2003-03-31,11.955000,12.745000,11.545000,12.195000,10.496755,60329400
2003-04-07,12.865000,13.255000,11.640000,11.725000,10.092207,58061400
2003-04-14,11.740000,13.320000,11.650000,13.215000,11.374712,63482400
2003-04-21,13.255000,13.890000,12.840000,12.940000,11.138007,60370600
2003-04-28,12.950000,13.700000,12.880000,13.625000,11.727616,65559000
2003-05-05,13.675000,14.215000,13.400000,13.965000,12.020267,76548400
2003-05-12,13.950000,14.465000,13.750000,13.905000,11.968624,67860600
2003-05-19,13.725000,14.100000,13.130000,13.560000,11.671669,61181000
2003-05-26,13.495000,15.100000,13.455000,14.975000,12.889619,65060200
2003-06-02,15.125000,16.235001,14.300000,15.250000,13.126324,106264000
2003-06-09,15.140000,15.170000,14.140000,14.250000,12.265581,80597000
2003-06-16,14.325000,15.020000,14.100000,14.450000,12.437730,81286800
2003-06-23,14.250000,14.450000,13.745000,14.175000,12.201025,79919800
2003-06-30,14.425000,14.895000,13.825000,14.620000,12.584055,41775400
2003-07-07,15.045000,16.150000,14.875000,15.590000,13.418978,67900400
2003-07-14,16.004999,16.475000,15.290000,15.725000,13.535173,66066400
2003-07-21,15.775000,16.420000,15.300000,16.170000,13.918205,62069800
2003-07-28,16.150000,16.594999,15.900000,16.375000,14.094658,60216600
2003-08-04,16.315001,16.504999,15.090000,15.250000,13.126324,70178200
2003-08-11,15.225000,16.365000,15.220000,16.250000,13.987066,66905200
2003-08-18,16.299999,18.930000,16.299999,18.120001,15.596656,102225000
2003-08-25,18.195000,18.780001,17.525000,18.695000,16.091579,59768400
2003-09-01,18.975000,19.250000,18.245001,18.905001,16.272339,96363800
2003-09-08,18.950001,19.424999,17.695000,18.480000,15.906522,147529800
2003-09-15,18.575001,19.075001,18.135000,18.780001,16.164745,94253600
2003-09-22,18.375000,18.610001,17.285000,17.299999,14.890842,128335800
2003-09-29,17.525000,18.735001,17.150000,18.459999,15.889302,114717400
2003-10-06,18.500000,19.190001,18.250000,19.174999,16.504734,98680200
2003-10-13,19.285000,20.209999,19.000000,19.270000,16.586508,110739000
2003-10-20,19.040001,20.100000,18.830000,19.275000,16.590813,101228200
2003-10-27,19.365000,21.174999,19.230000,20.825001,17.924961,92919200
2003-11-03,21.075001,22.350000,20.965000,21.995001,18.932030,88871200
2003-11-10,22.049999,22.325001,21.049999,21.155001,18.209009,124882600
2003-11-17,21.000000,21.315001,20.504999,20.860001,17.955090,139565200
2003-11-24,21.125000,21.950001,21.094999,21.900000,18.850262,67250600
2003-12-01,22.150000,22.195000,20.495001,20.575001,17.709776,123701200
2003-12-08,20.650000,20.799999,19.549999,20.455000,17.606487,144286800
2003-12-15,20.924999,20.945000,19.205000,20.105000,17.305227,168636400
2003-12-22,19.975000,20.645000,19.900000,20.459999,17.610792,34312400
2003-12-29,20.645000,21.049999,20.610001,20.700001,17.817371,61255400
2004-01-05,20.975000,22.715000,20.959999,22.375000,19.259115,106611800
2004-01-12,22.485001,22.889999,22.030001,22.660000,19.504427,134731600
2004-01-19,22.700001,22.754999,21.290001,21.469999,18.480141,109929000
2004-01-26,21.450001,21.975000,20.525000,20.980000,18.058374,153122200
