Open,Close,High,Low,Volume,Date
46.76,45.91,46.76,45.6,851,828.00,05/24/23
47.07,47.07,47.42,46.42,500,776.00,05/23/23
47.12,47.37,47.64,46.9,502,486.00,05/22/23
47.64,46.98,47.67,46.77,534,538.00,05/19/23
47.03,47.26,47.29,46.33,863,492.00,05/18/23
46.99,47.34,47.53,46.58,503,468.00,05/17/23
47.56,46.5,47.69,46.49,869,688.00,05/16/23
47.43,47.84,47.98,47.36,635,982.00,05/15/23
47.48,47.22,47.75,46.971,795,876.00,05/12/23
47.83,47.35,47.99,47.23,1,010,384.00,05/11/23
49.48,48.72,49.52,47.96,942,995.00,05/10/23
48.54,48.88,49.41,48.23,738,464.00,05/09/23
49.29,48.77,49.67,48.53,603,583.00,05/08/23
47.75,48.47,48.73,47.71,784,182.00,05/05/23
47.85,47.24,48.13,47.13,1,062,263.00,05/04/23
48.78,48.2,49.32,48.11,924,236.00,05/03/23
48.53,48.7,48.78,47.82,1,629,152.00,05/02/23
49.72,48.81,49.91,48.67,898,397.00,05/01/23
49.33,49.4,49.42,48.88,1,165,672.00,04/28/23
48.66,49.49,49.64,48.45,739,830.00,04/27/23
49.36,48.59,49.51,48.4,837,917.00,04/26/23
49.92,49.15,49.92,48.95,998,612.00,04/25/23
50.1,50.66,50.755,49.98,491,179.00,04/24/23
51.08,50.19,51.1,49.8,1,336,682.00,04/21/23
51.78,51.52,52.5,51.3,822,051.00,04/20/23
52.38,52.32,52.63,51.9,692,497.00,04/19/23
52.84,53.04,53.26,52.6,643,573.00,04/18/23
52.79,52.72,52.82,52.26,966,571.00,04/17/23
53.09,52.41,53.29,51.9,744,632.00,04/14/23
52.8,53.26,53.46,52.62,484,291.00,04/13/23
53,52.13,53.01,51.95,667,000.00,04/12/23
52.37,52.53,53.02,52.31,511,365.00,04/11/23
51.18,51.77,52.12,51.18,718,397.00,04/10/23
51.38,51.36,51.54,50.55,452,218.00,04/06/23
51.87,51.53,51.99,51.04,686,347.00,04/05/23
53.36,52.13,53.36,51.42,873,878.00,04/04/23
53.39,53.48,53.65,52.54,566,852.00,04/03/23
52.76,53.16,53.2,52.68,1,035,404.00,03/31/23
52.6,52.42,52.74,52.05,556,904.00,03/30/23
52.12,52.05,52.26,51.62,1,137,857.00,03/29/23
51.14,51.55,51.82,51.11,936,465.00,03/28/23
50.58,50.98,51.27,50.18,913,148.00,03/27/23
49.37,50.27,50.46,48.75,737,209.00,03/24/23
50.27,49.89,51.22,49.35,1,011,542.00,03/23/23
50.84,49.72,51.39,49.71,929,851.00,03/22/23
50.88,50.82,51.22,50.46,519,564.00,03/21/23
49.96,50.08,50.64,49.74,1,266,739.00,03/20/23
50.05,49.49,50.05,48.83,2,116,000.00,03/17/23
48.7,49.88,50.08,48.34,1,479,727.00,03/16/23
51.02,49.37,51.02,48.54,2,142,161.00,03/15/23
53.05,52.49,53.49,51.82,917,405.00,03/14/23
51.84,52.08,53.195,51.2,1,924,543.00,03/13/23
54.4,52.5,54.41,51.99,2,780,234.00,03/10/23
55.9,54.32,56.27,54.18,1,076,277.00,03/09/23
55.74,55.76,56.29,55.225,634,550.00,03/08/23
56.95,55.62,56.96,55.48,735,470.00,03/07/23
58.68,57.25,58.68,57.015,1,023,238.00,03/06/23
57.96,59.08,59.235,57.67,717,674.00,03/03/23
56.52,57.61,57.73,56.1,549,780.00,03/02/23
56.97,57.36,57.67,56.62,854,419.00,03/01/23
55.45,56.21,56.68,54.97,924,149.00,02/28/23
54.2,55.14,55.52,54.14,525,841.00,02/27/23
53.47,53.79,53.84,52.8,856,379.00,02/24/23
55.09,54.3,55.2,53.41,856,606.00,02/23/23
54.75,54.82,55.265,54.42,647,530.00,02/22/23
56.15,54.71,56.5,54.55,563,212.00,02/21/23
56.73,56.18,56.8,55.91,884,894.00,02/17/23
56.34,57.21,58.1,56.34,861,839.00,02/16/23
55.81,56.66,56.68,55.29,546,349.00,02/15/23
55.31,56.74,56.9,54.68,889,647.00,02/14/23
55.1,55.4,55.61,54.38,394,197.00,02/13/23
55,55.26,55.275,54.38,592,147.00,02/10/23
56.5,55.18,56.78,55.05,503,689.00,02/09/23
56.89,55.73,56.94,55.72,790,583.00,02/08/23
57,57.25,57.41,55.97,1,046,161.00,02/07/23
57.55,56.9,57.9,56.47,610,127.00,02/06/23
57.98,57.93,59.2,57.745,928,368.00,02/03/23
58.43,58.48,58.59,57.38,827,652.00,02/02/23
56.94,58.17,58.64,56.16,830,894.00,02/01/23
56.21,57.12,57.22,56.06,508,115.00,01/31/23
56.4,56.47,57.21,56.27,389,906.00,01/30/23
56.99,57.1,57.735,56.74,456,314.00,01/27/23
57.25,57.33,57.6,55.91,824,795.00,01/26/23
55.51,56.9,57.11,55.23,674,064.00,01/25/23
55.7,56.2,56.42,55.13,630,575.00,01/24/23
56,56.09,56.22,55.59,534,616.00,01/23/23
54.76,55.94,55.96,54.18,863,388.00,01/20/23
54.03,54.6,54.99,53.99,586,543.00,01/19/23
