Open,Close,High,Low,Volume,Date
103.73,104.3806,104.3806,103.35,621.00,06/25/21
104.91,103.9241,104.91,103.9241,2,069.00,06/28/21
102.93,103.5208,103.5208,102.75,2,223.00,06/24/21
102.56,103.38,103.38,102.56,513.00,11/12/21
103.54,103.0355,103.54,102.92,516.00,11/05/21
102.48,103.0001,103.21,102.48,945.00,06/08/21
104,102.96,104,102.96,734.00,06/29/21
103.25,102.89,103.25,102.62,1,311.00,11/04/21
100.92,102.87,103.07,100.92,2,003.00,11/03/21
102.26,102.83,102.96,102.26,5,453.00,11/16/21
102.94,102.83,102.94,102.59,804.00,06/11/21
101.32,102.8289,102.8289,101.32,280.00,06/22/21
101.82,102.8263,102.8263,101.82,293.00,09/02/21
102.74,102.7325,102.74,102.55,578.00,06/10/21
102.24,102.71,103.09,102.24,783.00,11/09/21
102.32,102.6951,102.6951,102.09,907.00,11/17/21
103.85,102.66,103.85,102.48,1,462.00,11/15/21
102.86,102.6319,102.86,102.6319,1,711.00,08/30/21
103.03,102.6024,103.16,102.6024,1,773.00,06/23/21
103.37,102.501,103.37,102.5,736.00,06/09/21
102.18,102.3958,102.3958,102.18,207.00,12/29/21
101.68,102.39,102.54,101.68,609.00,11/11/21
103.08,102.3816,103.08,102.3816,938.00,06/14/21
101.57,102.3227,102.3227,101.57,441.00,12/27/21
102.67,102.3181,102.67,102.3181,3,414.00,07/01/21
102.67,102.3138,102.67,101.98,470.00,06/30/21
101.95,102.3118,102.33,101.95,2,380.00,01/03/22
102.58,102.274,102.76,102.24,2,148.00,09/03/21
103,102.251,103,102.251,675.00,07/02/21
103.51,102.2054,103.51,102.2054,527.00,11/08/21
102.24,102.2035,102.71,102.2035,463.00,12/30/21
101.33,102.1913,102.1913,101.33,664.00,09/08/21
102.34,101.9953,102.34,101.65,947.00,12/28/21
102.17,101.98,102.17,101.54,1,533.00,07/06/21
102.26,101.8705,102.26,101.8705,544.00,06/15/21
101.77,101.8,101.96,101.71,6,157.00,06/07/21
102.32,101.7081,102.32,101.7,775.00,12/31/21
102.65,101.6944,102.65,102.65,1,360.00,01/04/22
101.7,101.685,101.7,101.42,740.00,06/16/21
102.15,101.5887,102.15,101.5887,194.00,09/09/21
100.31,101.5275,101.56,100.31,3,095.00,07/09/21
102.66,101.52,102.66,101.05,834.00,11/18/21
101.01,101.4891,101.4891,101.01,101.00,06/04/21
100.85,101.475,101.6,100.85,3,642.00,12/23/21
102.22,101.3977,102.22,101.3977,304.00,09/07/21
101.45,101.3848,101.68,101.38,611.00,06/17/21
102.3,101.34,102.75,101.29,2,427.00,11/10/21
101.64,101.3341,101.64,101.3341,285.00,08/31/21
99.91,101.2207,101.33,99.91,1,100.00,06/21/21
101.64,101.14,101.64,100.62,4,653.00,07/12/21
101.7,101.0656,101.7,101.0656,204.00,09/01/21
100.34,100.8363,100.8363,100.34,1,876.00,12/22/21
99.71,100.79,100.79,99.71,711.00,11/02/21
102.15,100.6933,102.15,100.66,1,521.00,07/07/21
99.41,100.6148,100.62,99.41,1,419.00,06/03/21
100.16,100.4292,100.4292,100.01,557.00,09/13/21
98.43,100.4018,100.4018,98.43,2,966.00,12/21/21
101.05,100.3742,101.05,100.3742,379.00,07/13/21
100.22,100.3437,100.74,100.22,476.00,07/29/21
0,100.3338,100.3338,100.3338,,11/24/21
98.93,100.2244,100.2244,98.93,249.00,08/27/21
100.3,100.1732,100.3,100.1732,225.00,08/11/21
102.48,100.1657,102.48,100.1657,3,219.00,09/10/21
99.24,100.094,100.094,99.24,8.00,07/21/21
101.05,100.0613,101.11,99.84,8,143.00,11/19/21
99.23,100.0035,100.06,98.78,3,721.00,08/03/21
98.04,99.9801,99.9801,98.04,209.00,12/15/21
99.6,99.9627,99.9627,99.6,307.00,07/30/21
99.61,99.9432,99.9432,99.61,144.00,08/10/21
99.71,99.9381,99.99,99.71,838.00,07/26/21
100.33,99.92,100.77,99.89,8,935.00,11/22/21
100.2,99.85,100.2,99.82,4,831.00,05/28/21
99.61,99.8094,99.91,98.97,1,184.00,11/23/21
100,99.7679,100,99.65,917.00,06/02/21
100.44,99.7668,100.44,99.41,7,933.00,06/01/21
99.52,99.7606,100.16,99.52,913.00,08/06/21
100.02,99.7546,100.02,99.75,450.00,08/12/21
99.4,99.7106,99.7106,98.65,744.00,07/23/21
98.4,99.6617,99.78,98.4,1,728.00,05/27/21
98.63,99.6468,99.79,98.63,1,401.00,07/28/21
99.46,99.5946,100,99.46,677.00,08/09/21
