Open,Close,High,Low,Volume,Date
266.31,267.92,270.07,263.92,99,852.00,05/24/23
267.3,265.65,268.42,263.98,74,843.00,05/23/23
260.2,264.87,266.8,260.2,153,155.00,05/22/23
262.76,260.01,262.99,258.25,110,927.00,05/19/23
254.65,259.26,259.67,250.75,118,028.00,05/18/23
251.88,255.71,257.08,250.58,162,598.00,05/17/23
255.38,249.07,255.38,248.83,120,881.00,05/16/23
254.83,255.92,258.87,253.63,106,732.00,05/15/23
254.47,253,257.41,251.31,107,889.00,05/12/23
255.61,252.37,255.61,250.4,215,650.00,05/11/23
265.53,259.83,265.53,257.02,86,709.00,05/10/23
260.22,263.13,265.75,259.69,130,515.00,05/09/23
265.92,262.1,268,261.51,65,216.00,05/08/23
262.63,261.58,264.87,261.19,120,152.00,05/05/23
254.21,254.58,256.48,249.64,128,451.00,05/04/23
252.5,253.53,258.4,252.47,211,867.00,05/03/23
269.36,256.75,269.66,255.54,289,515.00,05/02/23
270.3,273.29,274.35,269.61,86,523.00,05/01/23
267.38,274.13,276.49,265.66,144,331.00,04/28/23
265.94,268.08,270.645,264.1,137,506.00,04/27/23
274.33,268.8,277.32,267.08,197,880.00,04/26/23
281.21,274.46,282.27,272.6,182,537.00,04/25/23
277.67,286.18,288.18,277.67,137,682.00,04/24/23
283.97,277.82,283.97,275.715,196,479.00,04/21/23
283.12,282.82,284.67,279.66,191,109.00,04/20/23
284.54,287.21,288.43,281.31,141,384.00,04/19/23
285,286.77,288.46,283.23,58,152.00,04/18/23
287.86,286.68,289.62,283.96,75,944.00,04/17/23
290.4,288.08,291.25,285.27,95,343.00,04/14/23
288.37,288.72,291.24,287.7,118,703.00,04/13/23
288.2,287.85,290.11,283.49,71,867.00,04/12/23
283.67,286.19,288.29,281.13,128,591.00,04/11/23
278.76,282.04,286.08,278.76,66,686.00,04/10/23
282.97,278.33,283,278.11,63,249.00,04/06/23
283.42,282.67,285.48,279.09,96,656.00,04/05/23
295.63,284.11,295.63,280.57,205,022.00,04/04/23
295,293.5,298.72,290.79,267,137.00,04/03/23
275.43,277.13,278.49,274.17,73,997.00,03/31/23
281.03,274.3,281.57,273.35,111,873.00,03/30/23
278.92,277.38,279,275.14,123,035.00,03/29/23
267.91,275.07,276.05,267.62,189,518.00,03/28/23
262.45,268.62,269.86,258.55,167,968.00,03/27/23
252.23,257.38,258.83,251,226,264.00,03/24/23
267.97,258.64,270.2,255.52,165,339.00,03/23/23
276.65,265.76,276.65,265.74,260,749.00,03/22/23
274.42,275.25,278.25,272.68,223,675.00,03/21/23
259.5,265.45,267.58,259.4,189,743.00,03/20/23
264.19,257.59,264.19,253.97,289,277.00,03/17/23
256.53,265.48,266.8,253.75,320,951.00,03/16/23
269.87,262.71,269.87,257.27,390,946.00,03/15/23
283.92,283.46,292.67,277.8,205,418.00,03/14/23
284.75,281.53,291.99,278.56,328,813.00,03/13/23
301.75,294.39,306.74,293.02,212,476.00,03/10/23
318.04,301.98,321.75,301.5,143,167.00,03/09/23
321.83,317.06,324.54,313.36,128,169.00,03/08/23
328.25,322.31,329.17,321.89,137,293.00,03/07/23
329.16,329.44,330.96,327.7,98,327.00,03/06/23
320.16,330.41,331.62,319.79,109,209.00,03/03/23
317.45,326.06,327.69,315.12,154,467.00,03/02/23
310.78,319.39,320.76,310.78,126,993.00,03/01/23
317.91,310.9,318.88,310.64,126,636.00,02/28/23
310.04,314.73,316.26,308.8,122,607.00,02/27/23
300.07,309.95,310.69,297.18,188,090.00,02/24/23
304.91,303.62,307.16,299.73,115,719.00,02/23/23
302.89,297.75,306.99,294.81,365,650.00,02/22/23
310.81,306.57,316,306.16,163,282.00,02/21/23
322.58,312.48,322.76,309.62,254,184.00,02/17/23
326.41,327.45,332.41,325.01,97,956.00,02/16/23
326.28,326.13,326.28,319.82,95,165.00,02/15/23
327.85,330.72,335.32,326.4,125,754.00,02/14/23
325.63,331.44,333.13,321.97,145,440.00,02/13/23
320.12,329.24,329.41,320.11,147,600.00,02/10/23
328.54,317.69,328.54,316.9,148,199.00,02/09/23
325.76,329.01,330.39,322.9,131,819.00,02/08/23
319.94,323.86,324.7,316.43,145,655.00,02/07/23
317.17,316.56,318.24,311.72,60,255.00,02/06/23
314.99,315.68,325.63,314.68,188,787.00,02/03/23
325.23,313.87,326.35,311,209,917.00,02/02/23
328.49,327.36,330.99,317.581,209,676.00,02/01/23
322.08,330.05,330.35,321.83,65,774.00,01/31/23
321.45,323.17,326.25,320.57,81,272.00,01/30/23
329.52,325.94,332.05,324.47,134,535.00,01/27/23
327.95,329.49,329.55,319.86,163,494.00,01/26/23
314.66,324.85,326.1,310.82,165,415.00,01/25/23
317.52,316.77,317.52,308.91,134,110.00,01/24/23
322.97,318.58,323.04,317.02,221,334.00,01/23/23
317.85,320.51,322.98,313.85,181,942.00,01/20/23
315.68,315.9,318.88,310.88,257,604.00,01/19/23
333.4,316.64,336.25,316.39,306,847.00,01/18/23
328.81,330.09,330.82,326.28,81,362.00,01/17/23
326.66,327.94,328.53,320.19,93,067.00,01/13/23
319.2,325.62,330.76,318.6,199,858.00,01/12/23
320.15,317.74,320.92,313.55,166,880.00,01/11/23
312.25,318.06,319.36,308.62,207,430.00,01/10/23
313.13,312.23,318.58,311,201,302.00,01/09/23
301.03,305.58,309.67,299.88,302,284.00,01/06/23
290.83,296.14,297.88,289.78,139,014.00,01/05/23
283.7,290.66,293,283.7,153,884.00,01/04/23
301.82,289.59,303.29,285,150,847.00,01/03/23
298.19,304.05,304.89,298.19,83,327.00,12/30/22
292.94,301.88,302.885,292.94,67,013.00,12/29/22
303.12,294.19,303.12,292.22,179,118.00,12/28/22
303.46,303.81,305.95,301,77,504.00,12/27/22
295.68,302.03,302.04,293.1,75,888.00,12/23/22
299.66,291.03,299.66,285,75,065.00,12/22/22
299.84,299.8,301.12,294.81,126,701.00,12/21/22
283.11,293.33,294.56,283.11,76,043.00,12/20/22
287.23,283.19,289.22,281.16,93,204.00,12/19/22
281.02,285.93,286.38,280.42,151,294.00,12/16/22
289.48,290.62,291.7,285.6,111,253.00,12/15/22
296.48,292.7,297.17,289.72,125,454.00,12/14/22
289.85,294.41,295.83,288.77,228,765.00,12/13/22
272.01,282.58,283.85,272.01,118,051.00,12/12/22
283.88,270.88,286.42,270.75,135,874.00,12/09/22
290.57,283.43,292.96,281.94,162,247.00,12/08/22
291,282.53,293.57,282.01,149,093.00,12/07/22
292.14,289.98,298,287.99,196,578.00,12/06/22
311.96,293.31,313,292.1,217,138.00,12/05/22
299.97,308.27,308.62,299.97,105,376.00,12/02/22
307.77,302.8,311.6,302.8,184,423.00,12/01/22
304.41,304.15,305.219,298,156,956.00,11/30/22
297.2,299.18,300.57,295.94,129,666.00,11/29/22
289.24,292.38,297.41,288.15,154,751.00,11/28/22
301,299.06,303.01,298.57,60,419.00,11/25/22
302.7,302.13,306.18,297.68,170,742.00,11/23/22
306.26,309.97,311.07,304.72,112,846.00,11/22/22
298.41,300.6,301.7,284.56,342,510.00,11/21/22
306.17,308.41,309.45,299.01,172,776.00,11/18/22
304.47,311,313.43,303.76,168,960.00,11/17/22
316.21,312.28,317.41,310.86,122,020.00,11/16/22
315.38,319.02,320.1,311.19,135,473.00,11/15/22
317.92,312.68,322.79,312.38,167,973.00,11/14/22
315.97,318.45,322.31,315.24,160,005.00,11/11/22
308.88,308.28,310.14,302.68,246,242.00,11/10/22
312.71,301.48,312.82,300.32,229,679.00,11/09/22
317.95,317.76,319.7,313.56,155,686.00,11/08/22
309.43,317.8,318.39,309.43,155,657.00,11/07/22
308.97,307.15,313.54,303.07,264,320.00,11/04/22
289.15,300.63,301.9,289.15,190,665.00,11/03/22
296.48,291.92,302.05,291.06,248,234.00,11/02/22
304.78,298.12,305,297.99,139,341.00,11/01/22
286.53,298.7,300.12,286.53,172,759.00,10/31/22
292.86,289.97,295.09,283.77,211,677.00,10/28/22
297.95,292.49,302.42,291.16,351,791.00,10/27/22
287.5,293.66,298.22,287.5,274,799.00,10/26/22
280.49,283.06,285.51,278.29,132,793.00,10/25/22
276.71,281.88,282.735,274.77,134,738.00,10/24/22
267.65,277.28,278.72,265.95,335,211.00,10/21/22
265,264,266.67,261.91,184,848.00,10/20/22
254.06,261.67,262.49,251.96,353,377.00,10/19/22
249.04,250.07,253.32,244.675,89,629.00,10/18/22
244.27,246.38,250.04,244.05,84,172.00,10/17/22
247.54,239.99,251.019,239.81,172,083.00,10/14/22
234.55,251.58,252.52,234.55,239,851.00,10/13/22
236.74,238.76,240.52,232.75,211,684.00,10/12/22
235.91,239.22,243.82,235.17,105,186.00,10/11/22
246.28,241.29,249.64,239.35,100,231.00,10/10/22
248.65,247.29,251.66,244.3,114,675.00,10/07/22
242.68,248.72,251.04,242.68,182,764.00,10/06/22
234.74,245.38,246.77,234,174,830.00,10/05/22
231.03,235,235.35,229.49,160,117.00,10/04/22
221.69,226.28,227.19,220.96,211,671.00,10/03/22
210.03,211.21,215.3,208.04,97,679.00,09/30/22
209.61,212.12,212.37,204.79,159,688.00,09/29/22
205.28,212.24,213.31,204.37,260,992.00,09/28/22
204.36,202.82,208.78,201.83,133,367.00,09/27/22
203.16,198.76,207.5,198.62,234,715.00,09/26/22
213.1,203.97,213.1,201.6,379,894.00,09/23/22
228.93,223.41,231.33,223.34,99,040.00,09/22/22
234.16,224.74,235.22,224.74,100,854.00,09/21/22
233.34,229.18,233.34,226.14,165,140.00,09/20/22
226.41,235.65,236.41,225.52,62,650.00,09/19/22
240.1,233.88,240.1,229.92,161,279.00,09/16/22
243.05,242.06,244.75,239.62,96,574.00,09/15/22
241.4,248.57,250,241.4,105,712.00,09/14/22
245.78,239.88,249.49,238.36,114,884.00,09/13/22
250.12,250.24,251.51,246.15,64,375.00,09/12/22
241.44,246.61,247.91,241.44,146,174.00,09/09/22
235.16,235.24,238.69,232.75,62,779.00,09/08/22
231.47,234.25,235.04,227.96,107,119.00,09/07/22
243.45,237.54,244.57,235.17,86,243.00,09/06/22
238.19,240.9,243.45,235.84,126,257.00,09/02/22
235,230.75,236.18,228.56,211,353.00,09/01/22
236.41,239.67,245.16,234.48,153,358.00,08/31/22
248.79,242.22,248.79,239.55,167,570.00,08/30/22
249.72,254.1,256.84,248.43,160,716.00,08/29/22
255.87,249.84,256.79,247.6,107,105.00,08/26/22
255,255.97,258.4,254.56,109,418.00,08/25/22
247.67,253.54,254.55,247.39,147,720.00,08/24/22
240.4,248.13,251.49,240.35,174,136.00,08/23/22
234.46,236.23,237.99,229.4,117,257.00,08/22/22
238.77,237.65,239.4,235.35,70,907.00,08/19/22
234.81,241.15,242.04,234.77,122,489.00,08/18/22
228.2,230.39,232.94,226.09,68,955.00,08/17/22
234.65,229.62,237.65,227.91,102,667.00,08/16/22
232.31,233.04,233.34,226.66,107,532.00,08/15/22
238.43,242.82,242.88,235.63,61,828.00,08/12/22
235.58,239.44,241.17,235.58,128,170.00,08/11/22
229.82,230.09,232.07,222.78,96,625.00,08/10/22
230.47,228.71,233.3,227.1,64,463.00,08/09/22
224.85,226.26,228.1,224.85,118,523.00,08/08/22
217.14,225.2,230.13,216.78,162,409.00,08/05/22
231.28,219.57,231.28,219.23,255,254.00,08/04/22
240.5,231.89,241,229.1,214,797.00,08/03/22
236.56,237.99,241.74,235.76,127,938.00,08/02/22
236.54,235.19,236.86,230.61,90,985.00,08/01/22
235.06,241.72,242.42,234,157,038.00,07/29/22
233.18,230.68,234.785,225.01,83,751.00,07/28/22
224.06,230.8,231.73,221,183,214.00,07/27/22
225.08,219.97,226.46,218.58,82,083.00,07/26/22
215.12,221.67,221.79,211.85,127,125.00,07/25/22
214.65,211.05,218.98,209.67,216,763.00,07/22/22
212.49,211.25,212.52,205.72,224,685.00,07/21/22
215.73,219.89,220.38,213.22,128,496.00,07/20/22
213.85,221.64,222.17,213.85,166,832.00,07/19/22
211.64,213.79,216.12,211.33,197,348.00,07/18/22
205.85,205.41,206.31,200.12,144,713.00,07/15/22
199.9,201.04,201.38,195.87,149,001.00,07/14/22
206.29,207.95,213.3,206.29,116,676.00,07/13/22
210.51,209.64,213.22,207.01,447,344.00,07/12/22
218.13,217.45,220.52,214.95,138,101.00,07/11/22
225.12,222.68,226.05,219.365,155,023.00,07/08/22
217.02,221.59,224.13,217.02,178,210.00,07/07/22
211.51,210.11,216.25,202.42,221,746.00,07/06/22
224,214.29,224.38,210.44,296,563.00,07/05/22
234.13,231.63,234.4,221.81,131,702.00,07/01/22
231.88,232.6,238.44,229.65,144,574.00,06/30/22
246.23,238.29,246.55,236.22,119,145.00,06/29/22
243.57,242.62,246.9,239.34,228,512.00,06/28/22
232.9,237.52,238.15,229.64,137,513.00,06/27/22
