Open,Close,High,Low,Volume,Date
128.73,129.34,129.64,127.96,2376405.00,05/24/23
132.41,131.27,133.03,131.08,1626029.00,05/23/23
132.15,133.19,133.61,131.99,1421289.00,05/22/23
133.77,133.3,133.92,132.58,1852030.00,05/19/23
130.1,134.04,134.3,130.1,3219116.00,05/18/23
127.4,129.5,129.94,126.8,1873032.00,05/17/23
125.71,126.09,127.42,125.71,1533952.00,05/16/23
123.17,126.12,126.12,122.845,2053098.00,05/15/23
123.47,122.9,123.88,121.815,1397254.00,05/12/23
123.79,123.04,124.03,121.9,1776048.00,05/11/23
124.44,124.14,125.04,122.97,2069885.00,05/10/23
123.59,123.14,123.77,122.74,1851511.00,05/09/23
124.28,125.07,125.15,123.37,1431216.00,05/08/23
122.16,124.38,124.97,121.59,1813758.00,05/05/23
121.645,121.805,122.79,120.935,2188492.00,05/04/23
122.865,122.215,124.29,122.08,2471632.00,05/03/23
124.53,123.49,125.18,122.52,2649170.00,05/02/23
123.985,124.57,124.945,123.665,1922798.00,05/01/23
122.32,123.625,123.625,121.785,2815478.00,04/28/23
120.6,121.59,121.755,118.57,2432358.00,04/27/23
120.805,120.425,121.6,119.845,2416268.00,04/26/23
122.5,119.59,122.51,119.535,3160186.00,04/25/23
123.9,123.505,124.68,122.73,1387268.00,04/24/23
124.815,124.17,124.815,123.295,1759212.00,04/21/23
124.5,125.455,127.27,124.405,1829726.00,04/20/23
124.78,125.315,125.52,124.53,1490182.00,04/19/23
127.105,126.515,127.91,125.57,1955188.00,04/18/23
124.9,125.95,125.99,124.325,1649842.00,04/17/23
126.105,126.04,127.48,124.67,1690080.00,04/14/23
125.5,126.175,126.88,124.59,1904520.00,04/13/23
128.53,125.165,128.76,125.07,2682242.00,04/12/23
128.575,127.43,128.76,127.245,1801936.00,04/11/23
124.97,128.11,128.17,124.9,2152676.00,04/10/23
125.32,126.2,127.01,124.64,2293112.00,04/06/23
127.515,126.58,127.695,125.225,3197114.00,04/05/23
131.11,128.835,131.25,128.21,2598542.00,04/04/23
130.925,130.845,131.395,129.305,2148832.00,04/03/23
129.69,131.595,131.785,129.43,2540812.00,03/31/23
130.36,130.685,131.5,129.8,2547682.00,03/30/23
127,128.84,129.565,126.87,3261796.00,03/29/23
125.33,124.95,125.535,123.225,2935482.00,03/28/23
127.57,125.825,127.965,125.44,2457566.00,03/27/23
128.595,127.31,128.81,126.005,4014796.00,03/24/23
128.415,129.355,130.95,127.325,3352954.00,03/23/23
127.01,126.005,130.43,126.005,3281480.00,03/22/23
127.44,126.82,128.685,124.8,3479636.00,03/21/23
125.5,126.42,126.77,124.4,2488814.00,03/20/23
125.945,125.16,127.09,124.63,3886594.00,03/17/23
120.27,125.8,125.985,119.89,5007382.00,03/16/23
120.37,120.96,121.23,118.57,4247450.00,03/15/23
120.7,122.335,122.995,120.495,3854152.00,03/14/23
117.26,118.78,120.25,116.405,3561994.00,03/13/23
121.235,118.86,121.88,118.265,4447434.00,03/10/23
122.96,120.815,124.75,120.57,2696876.00,03/09/23
120.41,123.175,123.27,120.41,3383876.00,03/08/23
121.445,120.035,121.98,119.53,2313848.00,03/07/23
122.845,121.39,123.905,121.14,2363244.00,03/06/23
120.82,122.48,122.59,119.92,1903572.00,03/03/23
118.18,120.84,121.365,117.35,2562082.00,03/02/23
120.22,119.78,121.275,119.325,1814354.00,03/01/23
119.355,119.7,121.29,119.095,1774222.00,02/28/23
120.99,119.64,121.165,119.555,2025930.00,02/27/23
118.85,119.105,119.68,118.225,2493070.00,02/24/23
121.485,121.27,121.855,119.155,4128006.00,02/23/23
117.915,117.12,118.855,116.55,2301462.00,02/22/23
119.5,117.695,120.765,117.565,2273724.00,02/21/23
122.2,121.385,122.58,120.3,2538098.00,02/17/23
123.755,123.065,125.01,122.9,1832556.00,02/16/23
124.84,126.5,126.56,123.775,2260588.00,02/15/23
123,126.505,126.875,122.315,2980054.00,02/14/23
122.53,123.84,124.135,121.635,1524570.00,02/13/23
122.685,122.005,123.12,120.78,2830846.00,02/10/23
125.825,124.09,127.2975,123.175,3085752.00,02/09/23
125.495,123.6,126.33,123.305,2918318.00,02/08/23
122.775,126.07,126.635,122.5,3752668.00,02/07/23
122.475,122.395,124.095,121.895,2556784.00,02/06/23
124.125,124.465,127.15,123.73,3117160.00,02/03/23
125.535,126.7925,127.82,124.805,4536350.00,02/02/23
118.875,124.14,125.31,118.875,5404994.00,02/01/23
116.45,118.55,118.55,116.1,2053758.00,01/31/23
117.89,116.775,118.87,116.675,2755916.00,01/30/23
118.245,119.64,120.59,117.995,2491976.00,01/27/23
119.85,120.43,120.51,117.955,2692706.00,01/26/23
116.08,118.31,118.57,115.14,2623700.00,01/25/23
117.735,118.19,119.12,117.49,2687034.00,01/24/23
114.62,119.035,119.35,114.355,4096002.00,01/23/23
111.125,113.675,113.685,110.41,2277024.00,01/20/23
111.79,110.095,112.115,109.865,2881946.00,01/19/23
114.58,112.855,115.525,112.8,3437162.00,01/18/23
112.615,113.565,114.325,112.45,1834072.00,01/17/23
111.045,112.895,112.955,110.9575,1700174.00,01/13/23
111.71,112.49,113.23,109.46,3032712.00,01/12/23
109.51,110.83,110.83,108.6,2143608.00,01/11/23
107.75,109.545,109.545,107.365,2376250.00,01/10/23
107.95,108.14,110.36,107.225,3946560.00,01/09/23
103.075,105.835,106.45,101.43,2980474.00,01/06/23
102.005,101.4,102.865,101.34,2613318.00,01/05/23
102.55,103.25,103.8,101.345,3847122.00,01/04/23
103.29,100.69,103.385,100.05,2082382.00,01/03/23
100.35,101.47,101.605,99.59,1972690.00,12/30/22
100.215,101.87,102.2,99.87,3514912.00,12/29/22
99.355,98.65,100.555,98.2675,1962804.00,12/28/22
101.035,99.92,101.155,99.665,1751328.00,12/27/22
101.035,101.74,101.85,99.985,1841660.00,12/23/22
103.935,101.75,103.97,99.735,3566268.00,12/22/22
104.48,106.15,106.46,104.21,2132812.00,12/21/22
103.175,103.83,104.67,103,1788542.00,12/20/22
105.585,104.34,105.75,103.445,2539918.00,12/19/22
107.15,106.79,108.09,105.845,2596372.00,12/16/22
109.95,107.625,110.25,107.295,3475684.00,12/15/22
113.525,111.885,114.855,110.825,3104034.00,12/14/22
117.02,113.845,117.265,112.445,4035862.00,12/13/22
109.505,111.98,112.045,109.08,3099766.00,12/12/22
