Open,Close,High,Low,Volume,Date
79.68,78.41,79.9,78.33,1027624.00,05/24/23
80.71,80.13,81.54,80.04,1067362.00,05/23/23
80.47,80.89,81.36,80.05,1113112.00,05/22/23
80.89,80.4,81.3,80.01,1013516.00,05/19/23
80.58,80.53,80.93,79.92,686974.00,05/18/23
80.35,80.92,81.06,79.63,1242791.00,05/17/23
81.69,79.84,81.77,79.83,1495430.00,05/16/23
82.17,81.89,82.38,81.69,715270.00,05/15/23
82.2,82.03,82.29,81.36,652712.00,05/12/23
82.36,82.04,82.4,81.54,1240997.00,05/11/23
82.96,82.95,83.265,82.1,1292351.00,05/10/23
82.11,82.16,82.5,81.26,857211.00,05/09/23
82.81,82.51,83.06,82.18,998612.00,05/08/23
82.11,82.99,83.17,82.1,1102558.00,05/05/23
80.92,81.63,82.11,80.43,1567196.00,05/04/23
81.68,80.96,82.57,80.89,1779551.00,05/03/23
82.45,81.28,82.64,80.67,1330089.00,05/02/23
83.07,82.68,83.61,82.55,1053518.00,05/01/23
82.42,83.3,83.7,82.21,1632119.00,04/28/23
80.75,82.29,82.51,80.62,1470027.00,04/27/23
81.09,80.47,81.82,80.29,1213662.00,04/26/23
81.6,81.25,81.89,81.16,1050094.00,04/25/23
82.36,82.06,82.74,81.43,620757.00,04/24/23
82.39,82.37,82.77,81.68,1461364.00,04/21/23
82.66,82.36,82.77,81.93,1164329.00,04/20/23
82.27,83.18,83.37,81.97,786376.00,04/19/23
82.97,82.69,82.97,82.27,884292.00,04/18/23
81.19,82.88,82.89,81.19,1240176.00,04/17/23
82.52,81.19,82.99,80.58,1369184.00,04/14/23
82.78,82.47,82.825,81.68,715896.00,04/13/23
83.86,82.72,83.97,82.585,1489546.00,04/12/23
82.93,83.12,83.8,82.6,929843.00,04/11/23
82,82.77,82.78,81.53,704279.00,04/10/23
82.12,82.39,82.44,81.47,1720317.00,04/06/23
82.04,81.83,82.59,81.71,1955701.00,04/05/23
82.55,82.27,82.72,81.73,1810192.00,04/04/23
82.94,82.38,83.61,81.96,2055018.00,04/03/23
81.77,83.04,83.115,81.64,2009350.00,03/31/23
81.02,81.3,81.55,80.9,841705.00,03/30/23
79.44,80.25,80.35,79.43,1384537.00,03/29/23
78.12,78.51,78.86,77.82,894351.00,03/28/23
79.27,78.7,79.55,78.585,918631.00,03/27/23
76.46,78.79,78.805,76.23,1571782.00,03/24/23
78.48,77.59,79.49,77.31,1261028.00,03/23/23
80.64,78.08,80.67,78.06,2091434.00,03/22/23
82,81.11,82.22,80.41,840835.00,03/21/23
81.16,81.47,81.8,80.44,1528212.00,03/20/23
82.08,80.55,82.15,80.47,1688573.00,03/17/23
81.86,82.42,82.82,80.95,2528605.00,03/16/23
81.31,82.6,82.85,81.3,1990378.00,03/15/23
83.26,82.66,83.61,81.77,1494557.00,03/14/23
80.39,81.87,82.95,80.1,3482760.00,03/13/23
83.46,80.81,83.62,80.38,1738844.00,03/10/23
85.68,83.58,85.75,83.395,1042537.00,03/09/23
84.53,85.54,86.04,84.49,892357.00,03/08/23
86.54,84.57,86.6,84.4,1121976.00,03/07/23
87.33,86.59,87.41,86.39,733372.00,03/06/23
86.31,86.93,87.12,86.06,816691.00,03/03/23
84.02,85.63,85.76,83.92,945413.00,03/02/23
85.13,84.64,85.35,83.96,1258642.00,03/01/23
85.89,85.72,86.84,85.62,1714351.00,02/28/23
86.54,85.84,87.11,85.48,945925.00,02/27/23
86.26,85.71,86.33,85.27,1111169.00,02/24/23
87.12,87.24,87.47,86.29,943922.00,02/23/23
87.6,86.59,87.76,86.2,785071.00,02/22/23
88.61,87.38,88.62,87,1283598.00,02/21/23
89.3,89.17,89.45,88.32,962379.00,02/17/23
89.13,89.52,90.31,88.43,1010406.00,02/16/23
89.49,90.4,90.42,89.24,962347.00,02/15/23
90.47,90.04,91.15,89.52,896045.00,02/14/23
90.23,90.76,90.88,90.09,1297507.00,02/13/23
89.25,89.96,90.13,88.77,573212.00,02/10/23
91.09,89.65,91.52,89.41,611743.00,02/09/23
90.65,90.64,91.11,90.32,1173444.00,02/08/23
90.84,91.07,91.485,89.91,1168734.00,02/07/23
90.8,91.27,91.38,90.35,686003.00,02/06/23
92.39,91.94,92.44,90.81,1824738.00,02/03/23
92.45,93.7,94.5,92.42,1048670.00,02/02/23
90.7,91.62,92.23,89.6,1732712.00,02/01/23
89.29,91.06,91.16,89.15,1284831.00,01/31/23
89.62,89.19,90.58,89.15,960522.00,01/30/23
89.16,90.34,90.68,89.14,868096.00,01/27/23
88.85,89.34,89.36,88.38,813489.00,01/26/23
87.84,88.35,88.49,87.51,1542317.00,01/25/23
87.84,88.31,88.68,87.03,806874.00,01/24/23
87.7,88.09,88.57,87.14,862935.00,01/23/23
86.68,87.69,87.72,85.67,817731.00,01/20/23
86.66,86.66,87.62,86.61,842514.00,01/19/23
88.68,87.14,88.98,87,1261365.00,01/18/23
88.31,88.43,88.89,88.08,639673.00,01/17/23
87.68,88.18,88.53,87.54,780751.00,01/13/23
88,88.73,88.85,87.14,1389843.00,01/12/23
85.22,87.62,87.645,85.22,1000333.00,01/11/23
84.27,84.59,84.59,83.48,1027395.00,01/10/23
84.64,84.4,85.315,84.04,1054819.00,01/09/23
82.57,84.37,84.66,82.2,1016987.00,01/06/23
83.76,82.16,83.76,81.96,1319995.00,01/05/23
83.25,84.43,85.17,83.19,1100476.00,01/04/23
83.18,82.56,83.85,81.67,867759.00,01/03/23
82.48,82.48,82.85,81.505,834168.00,12/30/22
81.87,83.08,83.25,81.63,827283.00,12/29/22
82.88,81.3,83.27,81.18,718040.00,12/28/22
82.74,82.71,82.95,81.98,652291.00,12/27/22
81.76,82.74,82.76,81.41,617205.00,12/23/22
81.67,82.01,82.06,80.51,1186457.00,12/22/22
83.36,83.52,84.41,83.26,966042.00,12/21/22
82.64,82.81,83.26,81.86,943600.00,12/20/22
84,83.02,84,82.53,581276.00,12/19/22
85.42,84.09,85.42,83.16,1439230.00,12/16/22
86.23,86.32,87.09,85.87,702080.00,12/15/22
88.03,87.49,89.1,87.05,958856.00,12/14/22
89.05,88.09,89.45,87.085,1058307.00,12/13/22
86.03,86.49,86.5,85.07,662666.00,12/12/22
85.72,85.83,86.64,85.52,686108.00,12/09/22
85.66,85.99,86.77,85.5,757962.00,12/08/22
84.96,85.39,86.29,84.89,763498.00,12/07/22
86.21,85.22,86.24,84.85,744382.00,12/06/22
86.93,86.03,87.21,85.848,1070717.00,12/05/22
86.85,87.63,88.06,86.49,546909.00,12/02/22
88.72,87.89,89.34,87.17,1385660.00,12/01/22
85.91,88.08,88.14,85.29,1608969.00,11/30/22
84.78,86.11,86.21,84.52,707267.00,11/29/22
86.55,84.71,86.92,84.52,620167.00,11/28/22
86.76,87.04,87.06,86.68,296889.00,11/25/22
86.31,86.49,86.91,85.79,642658.00,11/23/22
86.32,86.42,86.53,85.76,492989.00,11/22/22
85.2,85.95,86.02,84.94,419401.00,11/21/22
85.44,85.5,85.84,84.64,661541.00,11/18/22
83.96,84.43,84.61,83.6,781302.00,11/17/22
85.57,85.01,85.89,84.82,575957.00,11/16/22
86,85.79,86.38,84.88,673921.00,11/15/22
86.49,84.87,86.62,84.82,1433089.00,11/14/22
87,86.99,87.88,86.67,1114285.00,11/11/22
83.95,87,87.17,83.95,1434744.00,11/10/22
81.71,81.07,82.595,80.865,923641.00,11/09/22
81.87,81.91,82.78,81.4,721053.00,11/08/22
82.09,81.66,82.51,81.11,797952.00,11/07/22
81.2,81.66,82.2,80.1,1116077.00,11/04/22
79.93,80.56,81.16,79.04,885722.00,11/03/22
82.43,80.67,83.42,80.52,1564845.00,11/02/22
83.74,82.95,84.12,82.76,769362.00,11/01/22
82.3,82.98,83.4,82.1,847449.00,10/31/22
80.89,83.07,83.26,80.75,785157.00,10/28/22
81.53,81.28,82.2,81.02,727574.00,10/27/22
81.13,81.16,81.91,80.62,869456.00,10/26/22
78.41,81.21,81.36,78.41,1470815.00,10/25/22
78.79,78.14,79.11,77.58,789880.00,10/24/22
77.81,78.15,78.19,76.54,1263886.00,10/21/22
77.92,77.54,78.79,77.32,750488.00,10/20/22
79.09,77.88,79.34,77.4,1085465.00,10/19/22
80.31,79.87,80.99,79.15,921074.00,10/18/22
77.55,79.01,79.305,77.49,988114.00,10/17/22
79.12,76.14,79.28,76.03,1115817.00,10/14/22
75.15,78.08,78.45,74.66,1316005.00,10/13/22
77.5,76.68,77.5,76.21,829238.00,10/12/22
76.66,77.49,78.01,75.76,1039702.00,10/11/22
77.77,76.71,78.21,76.605,923106.00,10/10/22
78.6,77.44,79.04,76.93,1080996.00,10/07/22
81.39,79.35,81.72,79.19,974836.00,10/06/22
82.16,81.62,82.24,80.29,1226726.00,10/05/22
82.5,83.25,83.87,82.43,1127992.00,10/04/22
81.4,81.6,82.11,80.05,1346406.00,10/03/22
79.7,80.17,80.74,79.51,1815383.00,09/30/22
80.86,79.28,80.86,78.73,1440017.00,09/29/22
80.75,81.68,82,79.93,1524649.00,09/28/22
81.8,80.02,82.35,79.82,1779618.00,09/27/22
82.99,81.1,82.99,80.255,1324368.00,09/26/22
83.7,83.44,84.12,82.52,1245085.00,09/23/22
86.32,85.48,86.32,85.18,891281.00,09/22/22
88.58,86.58,89.1,86.56,1146144.00,09/21/22
89.4,87.97,89.4,87.52,819657.00,09/20/22
89.48,90.16,90.19,88.89,587023.00,09/19/22
89.81,90.29,90.39,89.1,1047342.00,09/16/22
92.01,90.28,92.28,90.18,1010053.00,09/15/22
