Date,Open,High,Low,Close,Adj Close,Volume
1998-12-21,25.312500,26.046875,25.312500,26.046875,19.660021,17300
1998-12-28,25.921875,26.406250,25.812500,26.125000,19.718998,73800
1999-01-04,26.156250,27.406250,25.906250,27.156250,20.497377,46900
1999-01-11,27.250000,27.281250,25.687500,26.171875,19.754375,141200
1999-01-18,26.468750,26.843750,25.875000,26.468750,19.978441,51400
1999-01-25,26.343750,27.562500,26.218750,27.468750,20.733246,24800
1999-02-01,27.593750,27.828125,26.781250,26.781250,20.214329,75400
1999-02-08,27.015625,27.265625,26.218750,26.750000,20.190739,44800
1999-02-15,26.984375,27.546875,26.765625,27.171875,20.509163,28400
1999-02-22,27.250000,28.093750,26.656250,27.296875,20.603518,57400
1999-03-01,27.218750,28.843750,27.062500,28.656250,21.629566,57900
1999-03-08,28.875000,29.562500,28.406250,29.218750,22.054132,56800
1999-03-15,29.187500,29.500000,28.718750,29.062500,21.936197,40100
1999-03-22,29.000000,29.000000,27.593750,28.312500,21.393305,57800
1999-03-29,28.796875,29.218750,28.390625,28.562500,21.582212,69900
1999-04-05,28.750000,30.328125,28.656250,30.281250,22.880919,127800
1999-04-12,29.812500,30.656250,29.187500,29.718750,22.455885,150900
1999-04-19,30.187500,30.562500,28.968750,30.343750,22.928150,135800
1999-04-26,30.468750,30.593750,28.468750,29.343750,22.172539,159700
1999-05-03,29.406250,30.437500,28.812500,29.468750,22.266981,369300
1999-05-10,29.562500,30.406250,29.250000,29.468750,22.266981,86600
1999-05-17,29.000000,29.531250,28.562500,28.781250,21.747496,28800
1999-05-24,28.718750,28.875000,27.625000,28.015625,21.168999,28700
1999-05-31,28.062500,29.156250,27.765625,29.000000,21.912788,45100
1999-06-07,28.875000,29.125000,27.765625,27.812500,21.015509,22400
1999-06-14,28.062500,28.468750,27.625000,28.437500,21.487757,34300
1999-06-21,28.593750,28.937500,27.875000,28.187500,21.327526,19800
1999-06-28,28.281250,30.250000,28.281250,30.093750,22.769859,35600
1999-07-05,30.187500,30.578125,29.718750,29.812500,22.557060,58000
1999-07-12,29.843750,30.031250,29.343750,30.031250,22.722563,167900
1999-07-19,30.062500,30.062500,28.312500,28.312500,21.422110,49800
1999-07-26,28.156250,28.750000,27.437500,27.562500,20.854630,80900
1999-08-02,27.656250,27.843750,25.812500,26.031250,19.696045,234700
1999-08-09,26.125000,27.093750,25.156250,27.093750,20.499960,24900
1999-08-16,27.062500,27.687500,26.859375,27.375000,20.712774,47500
1999-08-23,27.734375,28.062500,27.187500,27.406250,20.736416,44600
1999-08-30,27.187500,27.203125,26.000000,26.937500,20.381735,38800
1999-09-06,26.625000,27.046875,26.234375,26.968750,20.405386,63500
1999-09-13,26.843750,26.937500,25.671875,26.281250,19.885210,19000
1999-09-20,26.203125,26.296875,25.531250,25.531250,19.345308,42900
1999-09-27,25.953125,26.343750,25.343750,26.218750,19.866240,91800
1999-10-04,26.562500,28.109375,26.562500,28.109375,21.298780,104900
1999-10-11,27.250000,28.390625,26.328125,26.328125,19.949112,139600
1999-10-18,26.296875,27.796875,25.906250,27.703125,20.990952,67600
1999-10-25,27.156250,29.062500,26.218750,28.390625,21.511883,60300
1999-11-01,28.500000,28.625000,27.750000,28.281250,21.429014,44700
1999-11-08,28.218750,28.718750,27.781250,28.718750,21.760515,35500
1999-11-15,28.468750,29.125000,28.453125,28.500000,21.594763,41700
1999-11-22,28.125000,28.562500,27.890625,28.562500,21.642117,23100
1999-11-29,28.468750,29.187500,28.390625,28.953125,21.938110,190500
1999-12-06,28.968750,29.234375,28.218750,29.093750,22.044653,63600
1999-12-13,29.375000,30.406250,29.375000,30.187500,22.873404,892800
