Date,Open,High,Low,Close,Adj Close,Volume
2006-06-19,137.600006,146.000000,136.440002,145.559998,119.143150,12675
2006-06-26,145.559998,156.279999,145.559998,155.960007,127.655724,30425
2006-07-03,157.000000,158.240005,153.800003,154.080002,126.116936,16975
2006-07-10,153.520004,155.800003,150.279999,152.199997,124.578133,90150
2006-07-17,152.520004,152.520004,145.240005,145.479996,119.077690,26350
2006-07-24,150.520004,159.399994,149.759995,157.000000,128.507004,16425
2006-07-31,159.800003,164.360001,158.679993,158.960007,130.111267,11775
2006-08-07,160.160004,164.479996,159.199997,159.679993,130.700592,9925
2006-08-14,159.039993,159.039993,153.360001,155.600006,127.361115,11450
2006-08-21,156.600006,161.839996,155.080002,160.320007,131.224518,46025
2006-08-28,159.520004,159.520004,153.399994,156.440002,128.048599,19425
2006-09-04,155.839996,158.160004,147.559998,147.559998,120.780212,122275
2006-09-11,146.399994,146.399994,139.119995,139.960007,114.559509,363875
2006-09-18,141.960007,143.679993,136.479996,136.639999,111.864342,298700
2006-09-25,134.559998,143.279999,133.240005,142.119995,116.350761,131625
2006-10-02,141.520004,142.800003,131.600006,139.160004,113.927498,134725
2006-10-09,140.880005,146.080002,138.199997,145.199997,118.872345,314850
2006-10-16,146.199997,150.720001,145.960007,148.119995,121.262878,33900
2006-10-23,146.800003,155.160004,146.479996,150.839996,123.489662,37550
2006-10-30,150.000000,152.559998,146.479996,152.320007,124.701340,74475
2006-11-06,152.000000,156.800003,150.399994,152.919998,125.192528,29000
2006-11-13,151.759995,157.000000,150.839996,154.800003,126.731583,54050
2006-11-20,154.720001,157.600006,152.919998,156.600006,128.205276,33225
2006-11-27,156.800003,165.520004,155.119995,165.479996,135.475128,48000
2006-12-04,164.639999,166.520004,162.880005,162.880005,133.346573,9500
2006-12-11,161.520004,164.759995,160.639999,162.320007,132.888062,14500
2006-12-18,161.600006,161.600006,154.440002,154.639999,126.702370,24925
2006-12-25,154.759995,155.279999,152.199997,152.279999,124.768761,52150
2007-01-01,150.360001,150.360001,143.559998,146.000000,119.623283,184500
2007-01-08,148.240005,148.679993,141.479996,146.360001,119.918221,219125
2007-01-15,146.199997,149.360001,144.360001,149.320007,122.343491,108125
2007-01-22,150.199997,154.520004,148.000000,152.360001,124.834267,46925
2007-01-29,153.479996,158.279999,151.600006,157.800003,129.291489,73375
2007-02-05,158.679993,159.000000,154.639999,156.679993,128.373749,16075
2007-02-12,155.800003,157.800003,153.440002,156.160004,127.947838,64325
2007-02-19,154.399994,160.000000,154.160004,159.320007,130.536880,59225
2007-02-26,161.000000,161.240005,151.279999,151.320007,123.982162,134475
2007-03-05,148.839996,155.919998,148.679993,154.240005,126.374649,118550
2007-03-12,152.679993,155.160004,151.279999,152.199997,124.703201,12600
2007-03-19,154.039993,162.520004,153.199997,162.119995,132.910599,217850
2007-03-26,162.880005,164.320007,161.479996,162.919998,133.566483,27100
2007-04-02,163.559998,167.360001,162.960007,167.080002,136.976898,30225
2007-04-09,166.919998,173.320007,166.919998,173.320007,142.092743,122550
2007-04-16,172.800003,174.039993,168.240005,170.720001,139.961105,80950
2007-04-23,171.000000,177.119995,171.000000,175.880005,144.191360,59875
2007-04-30,176.600006,179.600006,172.559998,178.720001,146.519745,44725
2007-05-07,177.039993,177.279999,172.679993,176.639999,144.814514,114700
2007-05-14,177.759995,183.080002,174.199997,182.639999,149.733475,180250
2007-05-21,184.320007,186.399994,179.720001,183.000000,150.028610,190825
