Open,Close,High,Low,Volume,Date
130.83,131.11,132.44,130.83,463,246.00,05/23/23
130.28,131.15,131.67,130.28,430,818.00,05/22/23
129.27,130.08,130.64,129.27,446,969.00,05/19/23
129.03,128.97,129.05,127.5,543,330.00,05/18/23
129.06,129.33,129.47,127.36,470,196.00,05/17/23
130.15,129.04,130.5,128.55,1,008,180.00,05/16/23
130.28,131.74,131.91,130.19,444,084.00,05/15/23
130.4,130.18,130.89,129.38,298,716.00,05/12/23
130.76,130.43,130.77,129.37,452,896.00,05/11/23
131.33,131.03,131.67,130.19,370,582.00,05/10/23
129.87,130.6,130.82,129.36,339,812.00,05/09/23
131.98,130.85,132.04,130.18,466,469.00,05/08/23
130.88,131.92,132.4,130.11,392,991.00,05/05/23
130.13,130.3,130.6,129.46,605,489.00,05/04/23
130.1,130.68,132.2,129.96,1,054,048.00,05/03/23
130.91,129.81,131.83,129.53,655,584.00,05/02/23
130.5,131.54,132.04,130.25,453,508.00,05/01/23
128.55,130.51,131.23,128,954,138.00,04/28/23
128.86,129.2,129.465,127.42,509,118.00,04/27/23
129.68,128.74,129.86,127.84,476,269.00,04/26/23
132.79,130.5,133.42,130.29,556,974.00,04/25/23
133.46,133.05,133.46,132.525,503,473.00,04/24/23
132.08,133.46,133.59,132.05,582,464.00,04/21/23
132.36,131.94,132.57,131.6,369,352.00,04/20/23
131.99,133.22,133.52,131.78,410,659.00,04/19/23
133.82,132.66,133.84,131.93,572,164.00,04/18/23
133.46,133.57,133.76,132.94,636,050.00,04/17/23
133.12,132.43,133.69,131.7,579,687.00,04/14/23
130.73,133.58,133.81,130.73,626,149.00,04/13/23
131.23,130.56,131.86,130.39,392,198.00,04/12/23
130.26,130.71,131.32,130.2,506,742.00,04/11/23
130.47,130.36,130.58,129.42,472,665.00,04/10/23
129.68,131.05,131.27,129.59,389,379.00,04/06/23
128.6,129.51,129.98,128.5,483,830.00,04/05/23
129.62,128.86,129.78,128.38,378,292.00,04/04/23
128.81,129.77,129.77,128.57,617,085.00,04/03/23
127.7,129.16,129.32,127.58,386,170.00,03/31/23
128.34,127.23,128.46,126.63,450,442.00,03/30/23
127.03,127.83,128.03,126.87,460,865.00,03/29/23
126.07,126.06,126.72,125.68,316,567.00,03/28/23
126.19,126.03,126.85,125.73,317,115.00,03/27/23
124.31,125.87,126.15,123.42,460,420.00,03/24/23
124.96,124.35,126,123.31,604,064.00,03/23/23
126.15,123.3,126.15,123.26,731,735.00,03/22/23
126.49,126,126.69,125.48,403,160.00,03/21/23
124.91,125.85,125.985,124.22,787,681.00,03/20/23
125.78,124.5,126.14,123.93,1,119,888.00,03/17/23
125.36,126.74,127.18,123.73,756,936.00,03/16/23
125.6,126.06,126.17,124.53,902,251.00,03/15/23
126.52,126.95,127.5,125.81,944,004.00,03/14/23
122.34,125.37,126.88,122.34,1,174,409.00,03/13/23
124.28,121.97,124.28,120.74,1,204,901.00,03/10/23
126.46,123.95,126.98,123.4,700,716.00,03/09/23
127.19,126.38,127.4,125.71,536,338.00,03/08/23
129.31,127.25,129.34,127.25,686,024.00,03/07/23
130.51,129.3,130.51,128.96,437,978.00,03/06/23
128.66,130.52,130.87,128.34,432,178.00,03/03/23
127.43,128.36,128.72,126.9,492,963.00,03/02/23
127.46,128.06,128.38,127.41,769,182.00,03/01/23
126.64,127.18,127.77,126.42,1,047,201.00,02/28/23
127.48,126.87,128.25,126.73,452,309.00,02/27/23
127.83,126.41,127.83,126.18,421,735.00,02/24/23
129.42,129,129.82,127.8,395,404.00,02/23/23
129.64,129.4,130.25,128.96,427,365.00,02/22/23
132.33,129.64,132.63,129.63,471,414.00,02/21/23
131.38,133.36,133.69,130.8,443,310.00,02/17/23
132.42,132.09,133.5,132.07,500,480.00,02/16/23
132.87,133.77,133.82,132.2,438,291.00,02/15/23
133.64,133.77,134.94,132.32,395,579.00,02/14/23
132.22,134.18,134.3,131.64,656,826.00,02/13/23
132.09,132.36,132.71,131.13,402,834.00,02/10/23
133.7,132.4,134.83,131.94,401,628.00,02/09/23
135.31,133.33,135.69,133.275,472,857.00,02/08/23
135.07,136.32,136.58,133.91,400,100.00,02/07/23
135.69,135.61,137.225,135.39,325,578.00,02/06/23
136.85,136.59,138.25,136.07,564,104.00,02/03/23
136.81,137.17,137.25,135.45,1,131,770.00,02/02/23
136.18,136.71,137.54,134.08,678,457.00,02/01/23
134.45,136.55,136.55,134.45,503,217.00,01/31/23
136.44,134.8,136.66,134.3,640,051.00,01/30/23
136.64,137.23,137.74,136.45,429,840.00,01/27/23
137.87,137.16,137.87,135.75,243,755.00,01/26/23
135.94,136.79,136.79,135.03,330,906.00,01/25/23
136.7,136.78,136.97,135.68,372,345.00,01/24/23
135.41,136.79,137.13,135.18,427,540.00,01/23/23
134.51,135.47,135.73,133.84,461,709.00,01/20/23
134.57,134.05,134.98,133.38,372,127.00,01/19/23
136.75,135.26,138.12,135.12,559,756.00,01/18/23
136.11,136.28,136.82,135.23,453,007.00,01/17/23
134.67,136.23,136.59,134.56,427,237.00,01/13/23
133.9,135.11,135.17,131.93,391,133.00,01/12/23
133.15,133.99,134.15,132.14,324,871.00,01/11/23
129.74,133.23,133.27,129.74,367,557.00,01/10/23
133.18,130.28,133.18,130.15,861,381.00,01/09/23
132.52,133.14,134.34,130.71,785,026.00,01/06/23
131.2,131.82,132.39,130.55,350,555.00,01/05/23
131.24,131.71,132.05,130.45,595,637.00,01/04/23
131.76,130.04,132.45,129.55,403,072.00,01/03/23
130.28,131.29,131.41,129.18,756,697.00,12/30/22
129.16,131.34,132.23,128.76,484,651.00,12/29/22
129.28,128.39,130.28,128.07,613,062.00,12/28/22
132.03,129.27,132.24,128.96,490,880.00,12/27/22
133.69,132.03,134.04,131.29,606,368.00,12/23/22
132.8,133.83,133.97,131.835,628,862.00,12/22/22
132.43,133.73,134.57,131.75,661,845.00,12/21/22
129.86,132.08,132.34,129.52,382,079.00,12/20/22
133.3,130.56,133.38,129.9,779,151.00,12/19/22
132.99,133,133.88,132,817,365.00,12/16/22
135.64,134.24,136.18,133.57,621,838.00,12/15/22
136.16,136.73,138.2,135,833,798.00,12/14/22
136.8,136,138.07,135.07,846,707.00,12/13/22
132.77,134.06,134.07,132.25,725,616.00,12/12/22
135.36,133.01,135.63,132.97,1,221,021.00,12/09/22
134.51,135.89,136.24,133.8,525,347.00,12/08/22
132.69,134.13,134.48,132.69,721,050.00,12/07/22
134.75,133.25,135.12,132.25,588,631.00,12/06/22
137.36,135.49,137.57,134.65,764,620.00,12/05/22
135.78,138.43,138.73,135.43,1,082,878.00,12/02/22
136.53,137.16,137.54,135.98,692,627.00,12/01/22
132.98,136.53,136.53,132.45,1,084,187.00,11/30/22
133.07,132.27,133.33,131.965,694,432.00,11/29/22
133.39,132.89,135.62,132.52,827,295.00,11/28/22
133.15,133.82,134.01,132.65,218,992.00,11/25/22
134.15,133.55,134.87,133.05,608,928.00,11/23/22
133.12,134.05,134.1,131.7,461,485.00,11/22/22
133.74,133,134.07,132.73,343,960.00,11/21/22
134.34,133.74,134.58,133.1,484,531.00,11/18/22
132.53,133.28,133.82,131.9,532,415.00,11/17/22
135.14,134.21,135.98,133.77,677,372.00,11/16/22
