Open,Close,High,Low,Volume,Date
74.25,73.74,74.3,73.685,2868535.00,05/24/23
74.57,74.22,74.63,74.12,3130836.00,05/23/23
75.72,74.77,75.85,74.73,3541840.00,05/22/23
76.03,75.92,76.105,75.59,2854207.00,05/19/23
75.96,75.87,76.05,75.41,2812609.00,05/18/23
76.48,76.24,76.49,75.775,2768856.00,05/17/23
76.73,76.28,76.79,76.18,3227008.00,05/16/23
77.24,76.93,77.34,76.59,3190838.00,05/15/23
76.9,77.12,77.145,76.74,1906573.00,05/12/23
76.57,76.82,76.87,76.155,2492253.00,05/11/23
76.73,76.59,77.06,76.055,3162548.00,05/10/23
76.96,76.71,76.96,76.575,1830292.00,05/09/23
76.91,76.95,77.05,76.7,2168492.00,05/08/23
76.59,77.18,77.235,76.51,2754082.00,05/05/23
76.74,76.47,76.86,76.23,3243419.00,05/04/23
77.06,76.66,77.38,76.64,3118807.00,05/03/23
77.43,77.29,77.47,76.52,5041540.00,05/02/23
77.31,77.5,77.815,77.295,2731372.00,05/01/23
77.23,77.44,77.58,77.04,3990846.00,04/28/23
76.22,77.03,77.105,76.17,3845762.00,04/27/23
76.42,76.18,76.71,76.15,2906802.00,04/26/23
76.86,76.78,77.37,76.7,3474973.00,04/25/23
76.57,76.88,76.92,76.57,2486652.00,04/24/23
76.53,76.57,76.97,76.41,3408380.00,04/21/23
75.57,76.02,76.215,75.54,2074883.00,04/20/23
75.98,75.84,76.06,75.62,1979057.00,04/19/23
75.65,75.89,75.96,75.41,2372948.00,04/18/23
75.33,75.66,75.66,75.25,2070865.00,04/17/23
75.46,75.18,75.78,74.98,3039230.00,04/14/23
75.27,75.66,75.69,74.92,3230131.00,04/13/23
75.57,75.24,75.82,75.145,2463300.00,04/12/23
75.5,75.58,75.79,75.44,5417363.00,04/11/23
75.1,75.36,75.37,74.64,3214573.00,04/10/23
75.23,75.36,75.49,74.92,2167599.00,04/06/23
75.16,75.3,75.62,75.16,3941472.00,04/05/23
75.07,74.95,75.39,74.785,2085232.00,04/04/23
74.76,75.1,75.255,74.49,2806772.00,04/03/23
74.49,74.71,74.74,74.37,2717862.00,03/31/23
74.09,74.11,74.29,73.88,2815918.00,03/30/23
73.9,73.9,73.98,73.71,2645921.00,03/29/23
73.47,73.49,73.89,73.39,2879835.00,03/28/23
73.22,73.36,73.68,73.22,2250964.00,03/27/23
71.94,72.97,73.035,71.88,4089342.00,03/24/23
72.22,71.75,72.47,71.48,4083622.00,03/23/23
72.83,72.03,73.14,72.02,2806055.00,03/22/23
72.87,72.7,73.025,72.19,3849974.00,03/21/23
72.04,72.76,72.82,72.04,4286204.00,03/20/23
72.54,72.11,72.66,71.79,3146899.00,03/17/23
72.54,72.64,72.7,72.13,3548760.00,03/16/23
71.65,72.59,72.68,71.49,6587718.00,03/15/23
71.68,72.12,72.16,71.43,5430480.00,03/14/23
71.04,71.47,72.57,71.01,8101000.00,03/13/23
71.6,71.11,71.87,70.85,4577291.00,03/10/23
72.41,71.46,72.53,71.245,3390333.00,03/09/23
71.94,72.13,72.21,71.69,2568227.00,03/08/23
72.74,72.01,72.97,71.89,2578351.00,03/07/23
72.34,72.73,72.83,72.33,2182109.00,03/06/23
72.55,72.54,72.6,71.885,4450369.00,03/03/23
71.51,72.48,72.615,71.45,2497039.00,03/02/23
71.81,71.5,71.89,70.935,2573466.00,03/01/23
72.33,72.03,72.45,72,2748316.00,02/28/23
73.06,72.63,73.255,72.475,2840293.00,02/27/23
72.66,72.71,72.82,72.27,2702067.00,02/24/23
73.36,73.2,73.56,72.745,2510820.00,02/23/23
73.5,73.29,74,73.11,2072373.00,02/22/23
73.28,73.4,73.78,73.02,2374355.00,02/21/23
72.53,73.68,73.709,72.53,3294252.00,02/17/23
72.62,72.74,73.175,72.31,1739833.00,02/16/23
72.98,73.27,73.28,72.68,1920634.00,02/15/23
73.75,73.13,73.78,72.885,2233052.00,02/14/23
73.19,73.8,73.825,73.15,1863909.00,02/13/23
72.3,72.97,73.025,72.145,1663588.00,02/10/23
73,72.3,73.26,72.205,2474604.00,02/09/23
72.78,72.62,72.91,72.5,2021006.00,02/08/23
72.96,73.18,73.315,72.45,2524619.00,02/07/23
73.28,73.49,73.62,73.23,2107383.00,02/06/23
73.91,73.4,73.91,72.87,3568228.00,02/03/23
73.83,73.69,74.17,73.37,3064024.00,02/02/23
73.68,74.33,74.65,73.37,4577043.00,02/01/23
73.09,73.74,73.745,72.87,1930624.00,01/31/23
72.71,72.95,73.49,72.71,2547124.00,01/30/23
73.02,72.86,73.19,72.505,4073835.00,01/27/23
73.25,73.07,73.31,72.835,2136426.00,01/26/23
72.75,73.33,73.33,72.35,3361825.00,01/25/23
72.83,73.15,73.35,72.41,3233569.00,01/24/23
72.76,72.85,73.22,72.55,3416072.00,01/23/23
72.11,72.62,72.645,71.61,2942572.00,01/20/23
72.46,72.06,72.79,72.035,2658720.00,01/19/23
