Open,Close,High,Low,Volume,Date
76.68,76.13,76.74,75.985,1641922.00,05/24/23
77.65,77.01,77.85,76.85,1337121.00,05/23/23
78.79,78.22,79.01,78.09,971755.00,05/22/23
79,78.63,79.03,78.2,1429646.00,05/19/23
77.61,78.43,78.505,77.24,1907495.00,05/18/23
77.83,77.97,78.28,77.47,1783378.00,05/17/23
78.34,77.46,78.42,77.44,1193922.00,05/16/23
78.5,78.76,78.81,78.01,844433.00,05/15/23
78.31,78.1,78.45,77.43,1266018.00,05/12/23
77.98,77.96,78.22,77.6,1202417.00,05/11/23
79.63,78.73,79.63,77.87,1295234.00,05/10/23
78.96,78.68,79.09,78.36,1370776.00,05/09/23
80.15,79.4,80.25,79.28,842920.00,05/08/23
79.2,79.66,79.94,79.13,1418887.00,05/05/23
79.02,78.34,79.52,78.15,1970037.00,05/04/23
79.85,78.85,80.23,78.82,1582217.00,05/03/23
79.76,79.73,79.87,78.46,1467137.00,05/02/23
80.65,80.51,81.04,80.365,765254.00,05/01/23
79.59,80.55,80.68,79.4,1173296.00,04/28/23
78.78,79.62,79.645,78.33,1633920.00,04/27/23
79.17,78.55,79.43,78.285,1715653.00,04/26/23
80.4,79.49,80.48,79.455,1593091.00,04/25/23
80.83,81.25,81.26,80.75,933239.00,04/24/23
81.1,80.7,81.185,80.255,997749.00,04/21/23
80.93,81.42,81.68,80.91,1126282.00,04/20/23
81.19,81.51,81.58,81,779122.00,04/19/23
81.71,81.74,82.01,81.37,862430.00,04/18/23
80.97,81.4,81.42,80.76,871167.00,04/17/23
81.32,80.93,81.88,80.52,1163343.00,04/14/23
80.74,81.52,81.78,80.57,1774352.00,04/13/23
81.19,80.69,81.37,80.55,1357401.00,04/12/23
80.37,80.63,81.07,80.34,1200081.00,04/11/23
79.32,80.01,80.15,79.25,1102994.00,04/10/23
79.29,79.63,79.7,79.06,2681249.00,04/06/23
79.4,79.82,79.93,79.1,2785341.00,04/05/23
80.97,80,81,79.69,2677362.00,04/04/23
80.82,81.17,81.38,80.58,2533200.00,04/03/23
79.38,80.66,80.7,79.38,1769734.00,03/31/23
79.65,79.37,79.68,79.1,1101705.00,03/30/23
78.75,78.83,78.87,78.48,1094630.00,03/29/23
77.37,77.75,77.88,77.29,1317500.00,03/28/23
77.61,77.38,77.92,76.82,1397418.00,03/27/23
75.61,76.81,76.99,75.07,1751007.00,03/24/23
76.62,76.19,77.725,75.61,1770333.00,03/23/23
77.53,76.28,78.11,76.26,1544008.00,03/22/23
77.63,77.66,77.99,77.14,1080694.00,03/21/23
75.77,76.73,76.77,75.77,1710435.00,03/20/23
76.43,75.51,76.44,75.39,2115262.00,03/17/23
75.11,76.7,76.79,74.88,2391651.00,03/16/23
76.35,75.83,76.52,74.78,3477750.00,03/15/23
78.51,78.37,79.28,77.52,1879743.00,03/14/23
77.4,77.38,78.43,76.8,4777360.00,03/13/23
79.91,78.18,79.93,77.77,2879010.00,03/10/23
82.05,79.88,82.31,79.63,1258762.00,03/09/23
81.63,81.99,82.18,81.35,1395966.00,03/08/23
82.92,81.59,82.92,81.3,1719852.00,03/07/23
84.27,83.23,84.27,83.095,1254777.00,03/06/23
83.96,84.6,84.64,83.31,1239115.00,03/03/23
82.04,83.41,83.6,81.845,1574450.00,03/02/23
82.01,82.47,83.27,82.01,1759917.00,03/01/23
81.44,81.83,82.36,81.3,2013533.00,02/28/23
81.71,81.46,82.23,81.38,1598424.00,02/27/23
79.29,81.19,81.3,78.87,2131773.00,02/24/23
80.86,80.65,81.2,79.46,1214851.00,02/23/23
80.32,80.56,80.96,79.92,1490526.00,02/22/23
80.88,79.96,81.15,79.84,1152661.00,02/21/23
81.5,81.3,81.58,80.86,745255.00,02/17/23
81.86,82.07,83.03,81.68,845555.00,02/16/23
82.1,83.01,83.02,81.88,844814.00,02/15/23
82.11,82.65,82.87,81.7,828316.00,02/14/23
82.17,82.46,82.62,81.64,549876.00,02/13/23
81.55,82.03,82.15,81.07,766774.00,02/10/23
83.57,81.73,83.75,81.36,1604222.00,02/09/23
83.16,82.93,83.96,82.87,1158097.00,02/08/23
82.38,83.6,83.8,82.34,1637208.00,02/07/23
82.67,82.49,82.99,82.06,1200006.00,02/06/23
84.01,83.41,84.68,83.3,1178223.00,02/03/23
84.84,84.94,85.18,83.68,1198928.00,02/02/23
84.16,85.21,85.9,83.62,1486432.00,02/01/23
82.89,84.65,84.675,82.89,696453.00,01/31/23
82.89,82.83,83.87,82.72,1424224.00,01/30/23
83.1,83.4,83.99,83.02,606498.00,01/27/23
82.57,83.67,83.705,82.31,1065031.00,01/26/23
82.19,83.27,83.29,81.94,663129.00,01/25/23
82.57,83.1,83.22,81.9,775384.00,01/24/23
82.67,83.05,83.4,82.28,954356.00,01/23/23
81.36,82.78,82.83,80.94,661302.00,01/20/23
81.16,81.15,81.49,80.52,699452.00,01/19/23
83.71,81.78,83.82,81.74,970928.00,01/18/23
83.93,82.95,84.09,82.87,671160.00,01/17/23
82.8,83.79,83.95,82.79,615762.00,01/13/23
83.16,83.28,83.51,82.33,686161.00,01/12/23
82.55,82.97,83,82.07,875602.00,01/11/23
80.91,81.69,81.74,80.46,542765.00,01/10/23
81.03,80.88,81.95,80.63,880050.00,01/09/23
78.42,80.37,80.545,78.42,829948.00,01/06/23
77.72,77.7,78.13,77.15,644552.00,01/05/23
77.99,78.95,79.16,77.96,851228.00,01/04/23
77.81,77.6,78.31,76.89,811791.00,01/03/23
77.66,77.68,77.94,77.025,532467.00,12/30/22
77.82,78.23,78.54,77.82,474670.00,12/29/22
78.57,77.39,78.87,77.34,500047.00,12/28/22
78.71,78.59,79.11,78.25,444842.00,12/27/22
77.98,78.52,78.54,77.55,594349.00,12/23/22
78.18,77.98,78.18,76.66,575683.00,12/22/22
78.47,78.74,79.06,78.28,539171.00,12/21/22
77.69,78.06,78.51,77.67,563514.00,12/20/22
78.42,77.55,78.86,77.18,588423.00,12/19/22
78.79,79.08,79.31,78.31,910402.00,12/16/22
80.53,79.42,80.61,79.225,762541.00,12/15/22
82.47,81.92,82.99,81.31,1175092.00,12/14/22
84.2,82.81,84.36,82.22,961111.00,12/13/22
81.03,81.68,81.7,80.74,436671.00,12/12/22
81.59,80.98,82.27,80.96,593245.00,12/09/22
81.72,81.79,82.21,81.53,496056.00,12/08/22
81.24,81.19,81.98,81.01,702354.00,12/07/22
82.15,81.37,82.65,80.78,716162.00,12/06/22
