Open,Close,High,Low,Volume,Date
35.18,34.86,35.31,34.61,753,482.00,05/24/23
35.29,35.48,36.43,35.29,1,162,063.00,05/23/23
34.73,35.25,35.35,34.38,918,177.00,05/22/23
35.21,34.44,35.3,33.95,892,440.00,05/19/23
34.85,35.01,35.11,34.44,859,691.00,05/18/23
33.37,34.78,34.875,33.37,1,151,363.00,05/17/23
33.29,32.75,33.53,32.74,868,371.00,05/16/23
32.44,33.26,33.43,32.4,1,028,601.00,05/15/23
32.63,32.34,32.65,31.96,714,483.00,05/12/23
32.33,32.34,32.69,32.03,808,333.00,05/11/23
33.7,32.85,33.75,32.49,612,427.00,05/10/23
32.95,33.09,33.36,32.55,684,542.00,05/09/23
34.27,33.27,34.43,33.18,727,189.00,05/08/23
33.32,33.65,33.745,32.81,2,022,316.00,05/05/23
32.23,31.9,32.69,30.85,3,670,251.00,05/04/23
34.12,33.41,34.8,33.31,1,912,438.00,05/03/23
35.7,33.96,35.7,33.345,1,816,044.00,05/02/23
36.5,35.82,36.7,35.725,541,262.00,05/01/23
36.04,36.63,36.86,35.9,1,127,467.00,04/28/23
35.58,36.14,36.275,35.58,547,838.00,04/27/23
35.5,35.5,36.09,35.13,917,790.00,04/26/23
36.25,35.35,36.25,35.21,752,973.00,04/25/23
36.79,36.7,37.19,36.64,355,337.00,04/24/23
37.23,36.87,37.24,36.61,452,142.00,04/21/23
37.33,37.32,37.85,37.08,473,221.00,04/20/23
37.02,37.95,38.12,36.79,630,040.00,04/19/23
37.37,36.82,37.37,36.58,446,957.00,04/18/23
36.33,37.32,37.335,35.92,537,122.00,04/17/23
37.47,36.49,37.57,36.23,860,921.00,04/14/23
36.56,36.9,37.045,36.115,480,104.00,04/13/23
36.96,36.39,37.08,36.18,443,159.00,04/12/23
36.61,36.72,36.95,36.43,299,948.00,04/11/23
36.01,36.46,36.72,35.82,401,091.00,04/10/23
35.79,36.21,36.45,35.79,495,095.00,04/06/23
35.49,35.8,35.94,35.35,509,948.00,04/05/23
36.9,36.03,37,35.57,667,475.00,04/04/23
37.2,36.76,37.39,36.55,335,302.00,04/03/23
37,37.07,37.17,36.63,490,254.00,03/31/23
37.62,36.66,37.7,36.55,681,696.00,03/30/23
37.13,37.22,37.26,36.69,550,508.00,03/29/23
36.61,36.68,37.03,36.3,696,094.00,03/28/23
37.4,36.7,37.58,36.51,851,726.00,03/27/23
34.59,35.91,35.95,34.33,1,149,866.00,03/24/23
36.45,35.12,36.65,34.85,1,365,549.00,03/23/23
37.9,36.02,38.01,36,1,376,556.00,03/22/23
37.72,37.98,38.23,37.35,911,574.00,03/21/23
36.61,36.08,37.39,35.96,1,257,044.00,03/20/23
37.16,35.78,37.24,35.56,1,834,244.00,03/17/23
36.19,37.89,38.75,35.48,2,931,725.00,03/16/23
35.9,36.76,37.13,35.55,2,798,032.00,03/15/23
39.95,37.52,39.99,37.035,2,847,968.00,03/14/23
37.58,36.81,38.54,35.1,3,761,532.00,03/13/23
41.11,40.88,42.565,39.65,4,697,008.00,03/10/23
45.35,42.66,45.41,42.57,1,716,771.00,03/09/23
46.27,46.01,46.44,45.74,586,706.00,03/08/23
47.35,46.19,47.37,46.12,503,718.00,03/07/23
47.94,47.6,48.35,47.51,609,656.00,03/06/23
47.39,47.91,47.98,47.16,413,286.00,03/03/23
47.51,47.21,47.53,46.77,433,199.00,03/02/23
47.97,48.02,48.23,47.72,402,072.00,03/01/23
48.37,48.26,48.67,48.22,448,403.00,02/28/23
48.65,48.34,48.95,48.18,274,584.00,02/27/23
