Open,Close,High,Low,Volume,Date
19.4,18.62,19.42,18.56,734000.00,01/02/08
12.11,12.25,12.35,11.8,429004.00,01/02/09
27.43,27.33,27.48,27.13,1699162.00,01/02/13
33.29,33.1,33.29,32.89,671303.00,01/02/14
34.25,33.81,34.36,33.46,727490.00,01/02/15
44.34,44.45,44.46,44.18,283670.00,01/02/18
31.99,32.81,32.99,31.93,672082.00,01/02/19
45.7,45.65,45.79,45.23,173481.00,01/02/20
37.4,36.51,37.5,36.25,598100.00,01/03/07
18.67,17.92,18.78,17.86,776600.00,01/03/08
17.52,17.68,17.77,17.52,838863.00,01/03/11
17.44,17.37,17.73,17.35,1314046.00,01/03/12
27.39,27.39,27.78,27.18,917030.00,01/03/13
33.14,33.15,33.37,33.13,558909.00,01/03/14
33.97,34.16,34.32,33.8,883957.00,01/03/17
44.44,45.13,45.155,44.44,374716.00,01/03/18
32.57,32.41,32.94,32.22,965878.00,01/03/19
45.15,45.41,45.51,45.15,175381.00,01/03/20
85.74,84.1,85.95,83.51,603187.00,01/03/22
61.29,61.13,61.59,60.52,399939.00,01/03/23
36.34,36.31,36.49,36.04,578400.00,01/04/07
17.61,16.9,17.62,16.62,1111200.00,01/04/08
15.2,15.32,15.35,15.12,471311.00,01/04/10
17.73,17.31,17.73,17.215,1046410.00,01/04/11
17.32,17.58,17.63,17.2,751066.00,01/04/12
27.53,27.61,27.63,27.36,573414.00,01/04/13
33.73,33.53,33.73,33.18,1376509.00,01/04/16
34.23,34.69,34.75,34.23,372173.00,01/04/17
45.38,45.02,45.38,44.775,551872.00,01/04/18
32.82,33.66,33.82,32.8,1394025.00,01/04/19
57.76,56.77,57.91,56.15,469520.00,01/04/21
84.52,85.09,85.11,84.52,644176.00,01/04/22
61.86,62.63,62.93,61.72,665939.00,01/04/23
36.08,35.98,36.27,35.91,268800.00,01/05/07
12.27,12.73,12.85,12.07,1251922.00,01/05/09
15.24,15.41,15.44,15.02,1608203.00,01/05/10
17.26,17.57,17.59,17.24,1159006.00,01/05/11
17.53,18.03,18.06,17.32,1137592.00,01/05/12
33.68,33.45,33.7,33.25,896792.00,01/05/15
33.52,33.45,33.81,33.31,1186994.00,01/05/16
34.53,34.51,34.7,34.32,346030.00,01/05/17
45.28,45.42,45.46,45.18,246129.00,01/05/18
56.49,57,57.29,56.49,527846.00,01/05/21
84.91,82.76,85.55,82.72,666158.00,01/05/22
61.85,62.16,62.41,61.23,385463.00,01/05/23
12.94,13.15,13.22,12.81,1111580.00,01/06/09
15.46,15.51,15.56,15.43,671528.00,01/06/10
17.63,17.69,17.77,17.55,769861.00,01/06/11
18.07,17.93,18.18,17.83,734534.00,01/06/12
33.14,32.53,33.14,32.49,980639.00,01/06/14
33.57,33.16,33.57,32.815,1112605.00,01/06/15
32.81,32.65,33.2,32.38,1032833.00,01/06/16
34.5,34.23,34.7,34.23,396205.00,01/06/17
45.17,45.75,45.78,45.1,355963.00,01/06/20
56.67,58.27,58.675,56.67,624160.00,01/06/21
82.91,82.55,83.06,81.74,607468.00,01/06/22
62.76,63.62,63.835,62.41,611811.00,01/06/23
17.02,16.8,17.13,16.5,989300.00,01/07/08
12.91,12.66,12.95,12.46,628676.00,01/07/09
