Open,Close,High,Low,Volume,Date
46.76,45.91,46.76,45.6,851828.00,05/24/23
47.07,47.07,47.42,46.42,500776.00,05/23/23
47.12,47.37,47.64,46.9,502486.00,05/22/23
47.64,46.98,47.67,46.77,534538.00,05/19/23
47.03,47.26,47.29,46.33,863492.00,05/18/23
46.99,47.34,47.53,46.58,503468.00,05/17/23
47.56,46.5,47.69,46.49,869688.00,05/16/23
47.43,47.84,47.98,47.36,635982.00,05/15/23
47.48,47.22,47.75,46.971,795876.00,05/12/23
47.83,47.35,47.99,47.23,1010384.00,05/11/23
49.48,48.72,49.52,47.96,942995.00,05/10/23
48.54,48.88,49.41,48.23,738464.00,05/09/23
49.29,48.77,49.67,48.53,603583.00,05/08/23
47.75,48.47,48.73,47.71,784182.00,05/05/23
47.85,47.24,48.13,47.13,1062263.00,05/04/23
48.78,48.2,49.32,48.11,924236.00,05/03/23
48.53,48.7,48.78,47.82,1629152.00,05/02/23
49.72,48.81,49.91,48.67,898397.00,05/01/23
49.33,49.4,49.42,48.88,1165672.00,04/28/23
48.66,49.49,49.64,48.45,739830.00,04/27/23
49.36,48.59,49.51,48.4,837917.00,04/26/23
49.92,49.15,49.92,48.95,998612.00,04/25/23
50.1,50.66,50.755,49.98,491179.00,04/24/23
51.08,50.19,51.1,49.8,1336682.00,04/21/23
51.78,51.52,52.5,51.3,822051.00,04/20/23
52.38,52.32,52.63,51.9,692497.00,04/19/23
52.84,53.04,53.26,52.6,643573.00,04/18/23
52.79,52.72,52.82,52.26,966571.00,04/17/23
53.09,52.41,53.29,51.9,744632.00,04/14/23
52.8,53.26,53.46,52.62,484291.00,04/13/23
53,52.13,53.01,51.95,667000.00,04/12/23
52.37,52.53,53.02,52.31,511365.00,04/11/23
51.18,51.77,52.12,51.18,718397.00,04/10/23
51.38,51.36,51.54,50.55,452218.00,04/06/23
51.87,51.53,51.99,51.04,686347.00,04/05/23
53.36,52.13,53.36,51.42,873878.00,04/04/23
53.39,53.48,53.65,52.54,566852.00,04/03/23
52.76,53.16,53.2,52.68,1035404.00,03/31/23
52.6,52.42,52.74,52.05,556904.00,03/30/23
52.12,52.05,52.26,51.62,1137857.00,03/29/23
51.14,51.55,51.82,51.11,936465.00,03/28/23
50.58,50.98,51.27,50.18,913148.00,03/27/23
49.37,50.27,50.46,48.75,737209.00,03/24/23
50.27,49.89,51.22,49.35,1011542.00,03/23/23
50.84,49.72,51.39,49.71,929851.00,03/22/23
50.88,50.82,51.22,50.46,519564.00,03/21/23
49.96,50.08,50.64,49.74,1266739.00,03/20/23
50.05,49.49,50.05,48.83,2116000.00,03/17/23
48.7,49.88,50.08,48.34,1479727.00,03/16/23
51.02,49.37,51.02,48.54,2142161.00,03/15/23
53.05,52.49,53.49,51.82,917405.00,03/14/23
51.84,52.08,53.195,51.2,1924543.00,03/13/23
54.4,52.5,54.41,51.99,2780234.00,03/10/23
55.9,54.32,56.27,54.18,1076277.00,03/09/23
55.74,55.76,56.29,55.225,634550.00,03/08/23
56.95,55.62,56.96,55.48,735470.00,03/07/23
58.68,57.25,58.68,57.015,1023238.00,03/06/23
57.96,59.08,59.235,57.67,717674.00,03/03/23
56.52,57.61,57.73,56.1,549780.00,03/02/23
56.97,57.36,57.67,56.62,854419.00,03/01/23
55.45,56.21,56.68,54.97,924149.00,02/28/23
54.2,55.14,55.52,54.14,525841.00,02/27/23
53.47,53.79,53.84,52.8,856379.00,02/24/23
55.09,54.3,55.2,53.41,856606.00,02/23/23
54.75,54.82,55.265,54.42,647530.00,02/22/23
56.15,54.71,56.5,54.55,563212.00,02/21/23
56.73,56.18,56.8,55.91,884894.00,02/17/23
56.34,57.21,58.1,56.34,861839.00,02/16/23
55.81,56.66,56.68,55.29,546349.00,02/15/23
55.31,56.74,56.9,54.68,889647.00,02/14/23
55.1,55.4,55.61,54.38,394197.00,02/13/23
55,55.26,55.275,54.38,592147.00,02/10/23
56.5,55.18,56.78,55.05,503689.00,02/09/23
56.89,55.73,56.94,55.72,790583.00,02/08/23
57,57.25,57.41,55.97,1046161.00,02/07/23
57.55,56.9,57.9,56.47,610127.00,02/06/23
57.98,57.93,59.2,57.745,928368.00,02/03/23
58.43,58.48,58.59,57.38,827652.00,02/02/23
56.94,58.17,58.64,56.16,830894.00,02/01/23
56.21,57.12,57.22,56.06,508115.00,01/31/23
56.4,56.47,57.21,56.27,389906.00,01/30/23
56.99,57.1,57.735,56.74,456314.00,01/27/23
57.25,57.33,57.6,55.91,824795.00,01/26/23
55.51,56.9,57.11,55.23,674064.00,01/25/23
55.7,56.2,56.42,55.13,630575.00,01/24/23
56,56.09,56.22,55.59,534616.00,01/23/23
54.76,55.94,55.96,54.18,863388.00,01/20/23
54.03,54.6,54.99,53.99,586543.00,01/19/23
56.46,54.69,57.13,54.69,1021763.00,01/18/23
56.14,55.65,56.41,55.38,594006.00,01/17/23
55.09,56.22,56.38,54.87,624077.00,01/13/23
55.03,55.48,55.5,54.28,604964.00,01/12/23
