Open,Close,High,Low,Volume,Date
40.47,40.13,40.7,39.81,4497575.00,05/24/23
40.6,40.86,42.08,40.46,6651609.00,05/23/23
39.66,40.46,40.54,39.11,5463667.00,05/22/23
40.35,39.21,40.35,38.515,8769642.00,05/19/23
39.72,39.92,40.06,39.2,5913843.00,05/18/23
37.85,39.68,39.825,37.85,11254715.00,05/17/23
37.79,36.96,37.98,36.95,4830404.00,05/16/23
36.42,37.52,37.75,36.39,4634643.00,05/15/23
36.44,36.37,36.55,35.77,4377381.00,05/12/23
36.31,36.14,36.85,35.985,6699888.00,05/11/23
38.17,37.06,38.2,36.6,4476820.00,05/10/23
37.29,37.42,37.73,36.64,5974473.00,05/09/23
39.26,37.58,39.39,37.495,7463020.00,05/08/23
38.04,38.35,38.48,37.21,13708865.00,05/05/23
36.58,36.08,37.05,34.525,25963998.00,05/04/23
39.02,38.16,40.08,37.995,12436915.00,05/03/23
41.26,38.86,41.28,38.12,14113821.00,05/02/23
42.7,41.46,42.82,41.315,5865829.00,05/01/23
41.89,42.66,43.02,41.8,6620942.00,04/28/23
41.24,41.93,42.135,41.24,3829700.00,04/27/23
41.04,41.16,41.945,40.675,7063328.00,04/26/23
42.05,40.91,42.14,40.77,9265796.00,04/25/23
42.83,42.71,43.425,42.63,3296247.00,04/24/23
43.32,42.93,43.34,42.58,4576471.00,04/21/23
43.55,43.48,44.26,43.155,5980251.00,04/20/23
43.1,44.31,44.585,42.76,7115769.00,04/19/23
43.6,42.63,43.63,42.36,4769562.00,04/18/23
42.09,43.57,43.58,41.675,5826590.00,04/17/23
43.75,42.31,43.98,42.02,7596647.00,04/14/23
42.71,43.15,43.36,42.17,4479365.00,04/13/23
43.3,42.5,43.46,42.29,3668117.00,04/12/23
43.02,42.97,43.275,42.67,3238050.00,04/11/23
42.25,42.85,43.275,42.03,3700086.00,04/10/23
41.98,42.63,42.865,41.97,4066949.00,04/06/23
41.6,42.01,42.24,41.445,5807953.00,04/05/23
43.62,42.44,43.7,41.77,4584056.00,04/04/23
44.02,43.4,44.23,43.125,3184004.00,04/03/23
43.84,43.86,44.09,43.375,3480192.00,03/31/23
44.92,43.43,45,43.3,4061467.00,03/30/23
44.48,44.33,44.54,43.725,4499421.00,03/29/23
43.83,43.86,44.31,43.36,3690674.00,03/28/23
45.1,43.9,45.35,43.86,6005212.00,03/27/23
41.55,43.52,43.665,41.28,9569765.00,03/24/23
43.95,42.24,44.25,41.905,8701999.00,03/23/23
45.96,43.45,46.14,43.38,10227408.00,03/22/23
45.78,46.07,46.465,45.16,7590538.00,03/21/23
44.76,43.56,45.58,43.475,13033396.00,03/20/23
45.16,43.44,45.46,43.135,10537067.00,03/17/23
43.86,46.21,47.51,42.96,14286732.00,03/16/23
43.19,44.64,45.13,42.77,11722389.00,03/15/23
49.16,45.38,49.42,44.62,12926326.00,03/14/23
44.17,44.45,47.575,41.92,22720383.00,03/13/23
50.82,50.69,52.89,48.45,21501353.00,03/10/23
56.55,53.02,56.76,52.91,11600415.00,03/09/23
58.06,57.7,58.285,57.35,3259567.00,03/08/23
59.62,58,59.62,57.91,2772538.00,03/07/23
60.54,59.93,60.87,59.8,1767903.00,03/06/23
60.02,60.38,60.495,59.42,1727873.00,03/03/23
60.3,59.64,60.48,59.05,2192119.00,03/02/23
61.01,61.19,61.36,60.71,1747386.00,03/01/23
61.76,61.56,62.13,61.51,1724946.00,02/28/23
62.12,61.66,62.54,61.45,1019572.00,02/27/23
61.04,61.68,61.71,60.77,1628698.00,02/24/23
61.83,61.67,62.03,60.96,1269861.00,02/23/23
61.79,61.43,61.92,61.045,1131971.00,02/22/23
62.6,61.73,62.72,61.445,1275029.00,02/21/23
62.86,63.2,63.28,62.48,1307578.00,02/17/23
63.29,62.88,63.63,62.83,1554251.00,02/16/23
62.82,64.01,64.11,62.76,1214336.00,02/15/23
63.48,63.26,63.8,62.5,1234870.00,02/14/23
62.94,63.5,63.515,62.65,731892.00,02/13/23
62.82,62.99,63.12,62.64,1086754.00,02/10/23
64.54,63.12,64.54,62.97,1120989.00,02/09/23
64.25,64.06,64.69,63.92,1585208.00,02/08/23
63.82,64.79,64.95,63.5,1307056.00,02/07/23
64.33,64.1,64.59,63.62,1191817.00,02/06/23
63.94,64.72,65.31,63.88,1915178.00,02/03/23
63.61,64.68,64.845,63.38,1836829.00,02/02/23
61.75,63,63.705,61.56,1974945.00,02/01/23
60.41,62.12,62.13,60.29,1428205.00,01/31/23
60.46,60.32,61.06,60.305,1011276.00,01/30/23
60.49,60.94,61.1,60.29,1250418.00,01/27/23
60.59,60.56,60.89,59.88,1099475.00,01/26/23
59.5,60.14,60.17,59.03,1834251.00,01/25/23
60.52,60,60.65,59.725,1766366.00,01/24/23
59.91,60.72,61.08,59.91,1610051.00,01/23/23
58.53,59.77,59.8,58.475,2032526.00,01/20/23
57.78,58.16,58.32,57.285,2184618.00,01/19/23
59.87,58.09,59.88,58.07,3325359.00,01/18/23
60.73,60.24,60.86,59.92,1785440.00,01/17/23
59.9,60.61,60.755,59.18,1652699.00,01/13/23
60.26,60.68,61.07,59.97,1456427.00,01/12/23
59.77,59.94,60.05,59.43,1018458.00,01/11/23
59.09,59.61,59.78,58.74,1141650.00,01/10/23
59.85,59.16,59.94,59.03,2689726.00,01/09/23
58.41,59.7,59.82,58.18,1668018.00,01/06/23
58.31,58,58.45,57.51,1780200.00,01/05/23
58.82,59.12,59.84,58.78,1653041.00,01/04/23
59.03,58.33,59.46,57.92,1709742.00,01/03/23
58.59,58.74,58.995,58.35,875289.00,12/30/22
57.99,58.96,59.04,57.97,1201766.00,12/29/22
58.39,57.87,58.46,57.81,1010215.00,12/28/22
58.31,58.28,58.555,57.83,860754.00,12/27/22
57.87,58.22,58.37,57.63,944538.00,12/23/22
57.62,57.84,57.87,56.77,1329686.00,12/22/22
57.61,58.06,58.44,57.61,1084081.00,12/21/22
56.88,57.11,57.56,56.86,1171589.00,12/20/22
56.74,56.83,57.16,56.375,1242309.00,12/19/22
56.81,56.94,57.57,56.73,2645719.00,12/16/22
57.78,57.43,58.06,57.105,3194332.00,12/15/22
59.53,58.5,59.85,58.3,2666798.00,12/14/22
61.52,59.6,61.85,59.26,2337672.00,12/13/22
60.09,60.59,60.88,59.55,1058432.00,12/12/22
60.05,60.04,60.46,59.89,2423192.00,12/09/22
60.49,60.28,60.71,59.93,1054509.00,12/08/22
59.89,60.12,60.69,59.4,1447324.00,12/07/22
60.73,60.16,61.04,59.73,1952625.00,12/06/22
63.41,60.75,63.46,60.36,2399562.00,12/05/22
63.6,63.95,64.05,63.36,1071894.00,12/02/22
64.85,64.07,64.94,63.68,1411811.00,12/01/22
63.34,64.52,64.535,62.04,2103866.00,11/30/22
62.98,63.39,63.62,62.89,767814.00,11/29/22
63.92,63.01,64.16,62.74,1189119.00,11/28/22
64.16,64.45,64.57,64.06,365774.00,11/25/22
63.94,63.97,64.28,63.71,660090.00,11/23/22
63.68,63.98,64.11,63.52,940249.00,11/22/22
62.88,63.29,63.37,62.74,657285.00,11/21/22
63.24,62.95,63.66,62.4,1185034.00,11/18/22
62.74,62.55,62.89,62.12,1754561.00,11/17/22
64.39,63.49,64.51,63.315,1139215.00,11/16/22
64.94,64.54,65.6,64,1338472.00,11/15/22
64.82,64.11,65.095,64.095,1088124.00,11/14/22
65.49,65.03,65.97,64.8,1608419.00,11/11/22
64.37,65.49,65.65,64.29,1897625.00,11/10/22
63.03,62.57,63.36,62.45,1266136.00,11/09/22
63.75,63.55,64.29,62.97,1365133.00,11/08/22
63.71,63.74,64.12,63.1,998575.00,11/07/22
62.7,63.37,63.47,62.34,1821897.00,11/04/22
61.7,61.91,62.22,60.97,1361381.00,11/03/22
63.72,62.37,64.26,62.29,1981718.00,11/02/22
64.4,63.99,64.5,63.77,1033945.00,11/01/22
63.52,63.95,64.315,63.47,1078539.00,10/31/22
62.67,63.85,63.9,62.4,1383930.00,10/28/22
62.98,62.31,63.34,62.22,1303055.00,10/27/22
62.56,62.29,63.065,62.21,1505894.00,10/26/22
61.19,62.36,62.56,61.06,1157895.00,10/25/22
60.98,61.47,61.65,60.69,2340679.00,10/24/22
59.82,60.44,60.68,59.32,2157475.00,10/21/22
61.62,59.66,62,59.26,2791059.00,10/20/22
62.53,61.77,63.06,61.23,1914000.00,10/19/22
63.92,63.08,64.19,62.58,2037617.00,10/18/22
62.63,63.12,63.34,62.32,1775458.00,10/17/22
62.94,61.51,63.77,61.4,1826972.00,10/14/22
58.93,62.47,62.71,58.51,2497835.00,10/13/22
59.84,59.82,60.54,59.28,1159474.00,10/12/22
59.85,59.95,60.71,59.46,1855558.00,10/11/22
60.75,60.21,61.01,59.81,1002227.00,10/10/22
61.24,60.34,61.42,60.04,1482696.00,10/07/22
61.85,61.75,62.39,61.42,1244763.00,10/06/22
61.95,62.35,62.51,61.64,1384308.00,10/05/22
60.99,62.87,62.87,60.98,1868876.00,10/04/22
59.58,60.23,60.53,58.66,1328400.00,10/03/22
59.09,58.88,60.17,58.775,1601273.00,09/30/22
59.3,59.11,59.51,58.4,1517417.00,09/29/22
59.23,60.09,60.545,59.07,1525670.00,09/28/22
60.21,59.07,60.61,58.49,2046496.00,09/27/22
59.99,59.78,60.72,59.5,1229841.00,09/26/22
60.55,60.3,60.71,59.38,2278228.00,09/23/22
62.82,61.26,62.95,61.05,1619487.00,09/22/22
63.7,62.69,64.39,62.69,1848923.00,09/21/22
63.27,63.44,63.75,62.86,1259810.00,09/20/22
